"cbsa_code","cbsatitle","metrosize","rent1_2019","rent2_2019","rent3_2019","rent4_2019","rent5_2019","rent6_2019","rent7_2019","rent8_2019","rent9_2019","rent10_2019","rent11_2019","rent12_2019","rent1_2020","rent2_2020","rent3_2020","rent4_2020","rent5_2020","rent6_2020","rent7_2020","rent8_2020","rent9_2020","rent10_2020","rent11_2020","rent12_2020","rent1_2021","rent2_2021","rent3_2021","rent4_2021","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
10420,"Akron, OH","Large"," 733.00"," 738.00"," 745.00",757," 768.00"," 776.00"," 781.00"," 776.00"," 772.00"," 767.00"," 762.00"," 759.00"," 764.00"," 770.00"," 778.00"," 776.00"," 778.00"," 777.00"," 778.00"," 782.00"," 784.00"," 786.00"," 785.00"," 784.00"," 786.00"," 788.00",791,803,6.07661822985469,1.51706700379267,87,94,31,27
10580,"Albany-Schenectady-Troy, NY","Large","1046.00","1045.00","1053.00",1066,"1071.00","1073.00","1070.00","1078.00","1077.00","1075.00","1066.00","1066.00","1067.00","1073.00","1076.00","1077.00","1078.00","1081.00","1085.00","1091.00","1101.00","1116.00","1129.00","1121.00","1114.00","1107.00",1126,1155,8.34896810506567,2.57548845470693,58,24,24,7
10740,"Albuquerque, NM","Large"," 910.00"," 910.00"," 915.00",923," 935.00"," 948.00"," 958.00"," 962.00"," 966.00"," 968.00"," 969.00"," 963.00"," 959.00"," 958.00"," 965.00"," 965.00"," 967.00"," 970.00"," 984.00"," 998.00","1010.00","1019.00","1025.00","1028.00","1032.00","1032.00",1044,1059,14.7345612134345,1.4367816091954,15,101,8,29
10900,"Allentown-Bethlehem-Easton, PA-NJ","Large","1130.00","1140.00","1149.00",1171,"1185.00","1204.00","1208.00","1213.00","1210.00","1200.00","1188.00","1184.00","1189.00","1197.00","1204.00","1207.00","1214.00","1222.00","1236.00","1252.00","1270.00","1289.00","1307.00","1307.00","1313.00","1318.00",1345,1374,17.33561058924,2.15613382899628,9,46,5,17
11100,"Amarillo, TX","Midsized"," 835.00"," 819.00"," 814.00",819," 825.00"," 827.00"," 819.00"," 813.00"," 813.00"," 818.00"," 820.00"," 815.00"," 819.00"," 818.00"," 825.00"," 820.00"," 818.00"," 805.00"," 811.00"," 801.00"," 814.00"," 805.00"," 813.00"," 805.00"," 814.00"," 819.00",837,841,2.68620268620269,0.4778972520908,129,146,47,47
11260,"Anchorage, AK","Midsized","1325.00","1335.00","1331.00",1329,"1322.00","1328.00","1325.00","1331.00","1329.00","1320.00","1312.00","1316.00","1330.00","1341.00","1357.00","1365.00","1366.00","1357.00","1348.00","1361.00","1368.00","1379.00","1382.00","1392.00","1395.00","1394.00",1403,1418,6.69676448457487,1.06913756236636,79,126,29,38
11460,"Ann Arbor, MI","Midsized","1294.00","1305.00","1314.00",1346,"1365.00","1386.00","1398.00","1399.00","1395.00","1377.00","1360.00","1351.00","1342.00","1346.00","1346.00","1353.00","1370.00","1384.00","1394.00","1386.00","1369.00","1334.00","1308.00","1298.00","1311.00","1325.00",1348,1388,3.12035661218425,2.9673590504451,123,19,43,11
11700,"Asheville, NC","Midsized"," 900.00"," 915.00"," 927.00",931," 932.00"," 935.00"," 937.00"," 937.00"," 936.00"," 934.00"," 928.00"," 916.00"," 912.00"," 918.00"," 927.00"," 931.00"," 925.00"," 921.00"," 919.00"," 926.00"," 932.00"," 944.00"," 953.00"," 962.00"," 962.00"," 964.00",971,987,6.01503759398496,1.64778578784758,89,87,32,27
12060,"Atlanta-Sandy Springs-Alpharetta, GA","Very Large","1210.00","1216.00","1222.00",1228,"1234.00","1240.00","1248.00","1253.00","1252.00","1244.00","1235.00","1230.00","1230.00","1234.00","1238.00","1229.00","1219.00","1214.00","1224.00","1238.00","1247.00","1253.00","1255.00","1261.00","1268.00","1280.00",1295,1320,7.49185667752443,1.93050193050193,67,65,18,26
12260,"Augusta-Richmond County, GA-SC","Large"," 883.00"," 889.00"," 897.00",907," 912.00"," 917.00"," 924.00"," 930.00"," 926.00"," 925.00"," 932.00"," 936.00"," 939.00"," 933.00"," 941.00"," 939.00"," 942.00"," 943.00"," 958.00"," 975.00"," 993.00"," 993.00"," 993.00"," 989.00"," 997.00","1001.00",1009,1029,13.4509371554576,1.98216055500496,19,64,10,21
12420,"Austin-Round Rock-Georgetown, TX","Very Large","1345.00","1347.00","1356.00",1366,"1379.00","1395.00","1412.00","1422.00","1419.00","1407.00","1396.00","1391.00","1391.00","1397.00","1402.00","1396.00","1379.00","1364.00","1362.00","1364.00","1357.00","1344.00","1331.00","1327.00","1333.00","1354.00",1385,1424,4.24597364568082,2.8158844765343,112,22,34,5
12540,"Bakersfield, CA","Large"," 961.00"," 968.00"," 965.00",975," 972.00"," 974.00"," 975.00"," 991.00"," 997.00","1009.00","1011.00","1013.00","1012.00","1016.00","1023.00","1024.00","1020.00","1012.00","1021.00","1040.00","1061.00","1074.00","1083.00","1094.00","1093.00","1097.00",1102,1121,14.974358974359,1.72413793103448,14,80,7,23
12580,"Baltimore-Columbia-Towson, MD","Very Large","1395.00","1398.00","1409.00",1421,"1438.00","1449.00","1454.00","1449.00","1442.00","1435.00","1428.00","1423.00","1423.00","1430.00","1437.00","1432.00","1427.00","1427.00","1438.00","1446.00","1449.00","1448.00","1449.00","1453.00","1460.00","1469.00",1485,1518,6.82617874736101,2.22222222222222,76,39,21,12
