"cbsa_code","cbsatitle","metrosize","jobs_jan20","jobs_feb20","jobs_mar20","jobs_apr20","jobs_may20","jobs_jun20","jobs_jul20","jobs_aug20","jobs_sep20","jobs_oct20","jobs_nov20","jobs_dec20","jobs_jan21","jobs_feb21","jobs_mar21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"10420","Akron, OH","Large",341.8,341,338.7,287.8,300.2,311.1,315.1,318,319.8,317.6,318.9,319.6,320.9,321,321.6,-5.6891495601173,0.186915887850474,108,136,37,44
"10580","Albany-Schenectady-Troy, NY","Large",471.8,472.1,470.5,398.4,404.6,413.8,424.6,431.9,438.9,438.9,438.7,436,439.1,439.8,441.2,-6.5452234696039,0.318326512050927,132,99,45,28
"10740","Albuquerque, NM","Large",402.8,402.9,401.3,350,351.6,363,366.4,370.4,372.5,374,370.9,369.1,372.8,374.6,377.1,-6.40357408786298,0.667378537106247,127,49,42,15
"10900","Allentown-Bethlehem-Easton, PA-NJ","Large",383.2,383.7,380,307,322,334.1,347.6,349.4,353.2,355.5,361.4,361.4,362.3,361.3,362.4,-5.5512118842846,0.304456130639348,106,105,36,32
"11100","Amarillo, TX","Midsized",122.7,122,122,109.5,114.4,116.9,117.7,118.7,119,119,118.9,119.2,119.9,119.7,120.7,-1.0655737704918,0.835421888053467,8,28,3,15
"11260","Anchorage, AK","Midsized",176.6,176.6,176.1,150.7,154.3,156.5,158.7,160.5,161.8,163.8,164.5,164.3,164.9,165.7,165.7,-6.17214043035108,0,125,166,55,69
"11460","Ann Arbor, MI","Midsized",230.1,230.4,229.7,191.6,196.3,201.8,206.5,209.8,209.8,209.3,208.2,205.5,208.8,210.7,210.6,-8.59375,-0.0474608448030348,174,171,75,70
"11700","Asheville, NC","Midsized",198.8,198.6,197.5,162,166.7,173.7,177.9,182.3,184.5,185.1,185.9,186.6,187.1,187.1,188.1,-5.28700906344411,0.534473543559594,99,61,44,31
"12060","Atlanta-Sandy Springs-Alpharetta, GA","Very Large",2886.7,2881.7,2864.3,2493.4,2560.9,2625.1,2637.9,2665.3,2678.4,2694.3,2701.9,2712.8,2717.4,2727.5,2736.6,-5.03522226463546,0.333638863428044,94,96,21,26
"12100","Atlantic City-Hammonton, NJ","Midsized",134.6,134.5,134.4,90.6,85.1,87.3,104.8,108.8,115.5,116.5,117.9,117.2,118.1,118.6,118.8,-11.6728624535316,0.168634064080947,186,143,80,58
"12260","Augusta-Richmond County, GA-SC","Large",246.2,246.3,245.5,213.8,223,229.4,231,233.3,236.2,236.7,236.8,238.6,237.6,237,237.3,-3.65408038976857,0.126582278481017,58,151,19,46
"12420","Austin-Round Rock-Georgetown, TX","Very Large",1144,1145.3,1139.5,1003.7,1027.7,1053.9,1065.8,1076.6,1084.6,1095.7,1099.5,1105.6,1110.8,1112.4,1122.3,-2.0082074565616,0.889967637540441,17,21,3,3
"12540","Bakersfield, CA","Large",278.4,280,278.2,247.1,246.7,250.8,254.4,255.9,256.2,255.9,255.4,256,254.8,256.9,257.7,-7.96428571428572,0.311405216037373,166,104,51,31
