"cbsa_code","cbsatitle","metrosize","unemp_jan20","unemp_feb20","unemp_mar20","unemp_apr20","unemp_may20","unemp_jun20","unemp_jul20","unemp_aug20","unemp_sep20","unemp_oct20","unemp_nov20","unemp_dec20","unemp_jan21","unemp_feb21","unemp_mar21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"10420","Akron, OH","Large",4.3,4.3,5,16.2,13.1,10.9,9.2,9,8.3,6.4,5.7,5.7,5.5,5.4,5.3,1,-0.100000000000001,26,30,8,6
"10580","Albany-Schenectady-Troy, NY","Large",3.7,3.6,3.9,13,10,10.6,11.6,8.9,5.7,5.8,5.1,5.4,5.2,5.6,5.5,1.9,-0.0999999999999996,90,60,31,17
"10740","Albuquerque, NM","Large",4.5,4.5,5.8,12.8,9.4,8.3,12.5,10.8,9.5,7.6,6.6,7.7,7.9,8,8,3.5,0,152,107,47,28
"10900","Allentown-Bethlehem-Easton, PA-NJ","Large",4.7,4.7,5.6,16.7,14.1,14.2,12.6,10.4,7.8,7.2,7.3,7.1,7.6,7.5,7.4,2.7,-0.0999999999999996,129,60,44,17
"11100","Amarillo, TX","Midsized",2.5,2.6,3.7,9.2,9,5.7,4.9,4.1,5.1,4.5,5.5,5.2,5.2,5.1,5.1,2.5,0,121,107,57,48
"11260","Anchorage, AK","Midsized",5.4,5.2,5.5,14.8,13.1,12.4,11.6,7.4,7.1,5.9,6.4,5.9,6.4,6.5,6.4,1.2,-0.0999999999999996,37,60,16,23
"11460","Ann Arbor, MI","Midsized",2.7,2.6,2.6,15.5,14,10.2,6.8,6.7,6.2,4.3,4.3,4.3,5,4.8,4.7,2.1,-0.0999999999999996,100,60,45,23
"11700","Asheville, NC","Midsized",3,2.9,3.7,16.7,15.9,8.8,9.2,6.9,7.3,6.1,6,5.9,5.3,4.8,4.7,1.8,-0.0999999999999996,88,60,41,23
"12060","Atlanta-Sandy Springs-Alpharetta, GA","Very Large",2.9,3,4.4,12.8,10,8.2,8.2,6.1,6.6,4.6,5.8,5.8,4.7,4.7,4.6,1.6,-0.100000000000001,72,30,17,9
"12100","Atlantic City-Hammonton, NJ","Midsized",5.4,5.4,5.3,34,32.9,35.2,25.2,18.9,10.8,12.6,15.3,11.9,11.1,11.1,11,5.6,-0.0999999999999996,189,60,81,23
"12260","Augusta-Richmond County, GA-SC","Large",3.2,3.3,4.2,10.9,9,6.8,6.8,5.1,5.2,3.9,5,5,4.7,4.7,4.6,1.3,-0.100000000000001,42,30,15,6
"12420","Austin-Round Rock-Georgetown, TX","Very Large",2.6,2.6,3.9,12.7,11.6,7.1,6.5,5.4,6.3,5.1,6,5.4,5.7,5.6,5.5,2.9,-0.0999999999999996,136,60,30,22
"12540","Bakersfield, CA","Large",7.4,7.5,10.3,18.2,18.5,17.4,16.3,13,13.1,11.2,10,11.2,9.7,9.9,9.7,2.2,-0.200000000000001,108,4,39,2
"12580","Baltimore-Columbia-Towson, MD","Very Large",3.4,3.4,3.4,10.4,9.7,7.9,7.4,6.7,7.1,7,6.1,5.8,5.9,5.8,5.8,2.4,0,119,107,23,33
"12940","Baton Rouge, LA","Large",4.8,4.8,6.2,13.9,13,8.8,8.6,6.7,6.7,8,7.5,6.4,6.4,6.2,6.2,1.4,0,58,107,20,28
"13140","Beaumont-Port Arthur, TX","Midsized",5.5,5.5,8.4,18.8,18.2,12.1,11.9,10.2,12.5,10.5,12.2,11.2,11.8,11.3,11.2,5.7,-0.100000000000001,190,26,82,16
"13820","Birmingham-Hoover, AL","Very Large",2.5,2.4,2.9,12.5,9,7.2,7.7,5.4,6.5,5.4,4.2,4.1,3.8,3.6,3.5,1.1,-0.1,34,56,8,21
"14260","Boise City, ID","Large",2.6,2.5,2.5,12.6,9.7,6.1,5.4,4.4,6.4,5.8,5,4.6,3.7,3.7,3.7,1.2,0,37,107,14,28
"14460","Boston-Cambridge-Newton, MA-NH","Very Large",2.5,2.5,2.6,15.7,16.2,16.9,15.3,10.8,9.3,7,6.3,6.9,6.5,6.2,6.1,3.6,-0.100000000000001,156,30,37,9
"14500","Boulder, CO","Midsized",2.2,2.2,4.3,9.8,8.5,9.3,6.6,5.8,5.7,5.6,5.4,7.2,5.9,5.6,5.5,3.3,-0.0999999999999996,151,60,69,23
"14740","Bremerton-Silverdale-Port Orchard, WA","Midsized",4.1,4,4.1,14.8,13.4,8.3,9.7,7.8,7.9,5.8,6.2,6.8,5.6,5.5,5.5,1.5,0,64,107,29,48
"14860","Bridgeport-Stamford-Norwalk, CT","Large",3.8,3.8,3.3,8.1,9.6,10.3,10.6,8.6,8.3,6.6,8.7,8.3,8.2,8.2,8.1,4.3,-0.0999999999999996,175,60,53,17
"15180","Brownsville-Harlingen, TX","Midsized",5.6,5.7,8.2,17.6,16.9,10.8,10.7,9.1,11,9.7,11.5,10.5,10.7,10.7,10.5,4.8,-0.199999999999999,182,21,78,12
"15380","Buffalo-Cheektowaga, NY","Very Large",4.5,4.4,4.8,19.5,14.6,13.8,14.2,11,7.1,7.1,6.2,7.5,6.9,7,7,2.6,0,126,107,25,33
"15940","Canton-Massillon, OH","Midsized",4.7,4.7,5.5,16.6,13.3,10.8,8.9,8.8,8,6.2,5.7,5.6,5.4,5.3,5.2,0.5,-0.0999999999999996,14,60,9,23
"15980","Cape Coral-Fort Myers, FL","Large",2.9,2.9,4.4,15.1,13.2,9.3,10.4,6.7,6,5.2,5.5,5.4,4.4,4.6,4.6,1.7,0,80,107,26,28
"16300","Cedar Rapids, IA","Midsized",3,3,3.6,12.7,11.4,9.7,8,8.1,5.8,4.3,4.4,3.6,4.5,4.9,4.9,1.9,0,91,107,42,48
"16620","Charleston, WV","Midsized",4.9,4.8,5.9,18.2,14.5,11.8,11.7,10.6,10.3,7.6,7.3,7.2,6.5,6.5,6.3,1.5,-0.2,64,7,29,3
"16700","Charleston-North Charleston, SC","Large",2,2.1,2.3,12.3,12.3,8.6,8.7,6.3,4.8,3.9,4,4.1,4.5,4.6,4.6,2.5,0,121,107,42,28
"16740","Charlotte-Concord-Gastonia, NC-SC","Very Large",3.3,3.3,4,13.2,13.4,8.2,9,7,7.3,6.2,6.1,6.1,5.9,5.4,5.2,1.9,-0.2,91,7,19,2
"16860","Chattanooga, TN-GA","Large",3.3,3.3,3.3,13.7,9.5,7.8,7.8,6.6,5.3,5.8,4.4,5.5,4.4,4.3,4.3,1,0,26,107,8,28
"16980","Chicago-Naperville-Elgin, IL-IN-WI","Very Large",3.5,3.4,4.6,17.6,15.6,15.2,11.9,11.8,11.5,8.7,7.7,8.6,8.5,8.3,8,4.6,-0.300000000000001,181,1,50,1
"17140","Cincinnati, OH-KY-IN","Very Large",3.7,3.7,4.3,14.5,11.5,8.8,7.5,8,7,5.9,5.1,5.1,5.1,4.7,4.5,0.8,-0.2,21,7,4,2
"17300","Clarksville, TN-KY","Midsized",4.2,4.2,4.3,16.6,10.8,8.3,8.6,8.6,6.4,7.8,5.8,7.1,5.4,5.6,5.5,1.3,-0.0999999999999996,42,60,19,23
"17460","Cleveland-Elyria, OH","Very Large",4.6,4.8,5.2,21.4,17.2,12.6,8.8,8.5,9.1,8.2,8.1,8.1,7.3,5.1,5,0.2,-0.0999999999999996,5,60,1,22
"17780","College Station-Bryan, TX","Midsized",2.7,2.8,4.1,9.3,9,5.7,5.3,4.3,5.6,4.8,5.9,5.4,5.7,5.6,5.5,2.7,-0.0999999999999996,129,60,61,23
"17820","Colorado Springs, CO","Large",3,2.9,5.8,12.6,9.9,10.3,6.8,6.3,6.3,6.3,6.2,8.7,6.7,6.7,6.7,3.8,0,164,107,50,28
"17900","Columbia, SC","Large",2.3,2.4,2.5,8.8,9.4,7.3,7.3,5.4,4.3,3.6,3.8,4,4.1,4.3,4.5,2.1,0.2,100,191,37,56
"17980","Columbus, GA-AL","Midsized",3.6,3.6,4.8,12.8,10.1,8.4,8.2,6.2,6.9,5.1,6,6,5,5,4.9,1.3,-0.0999999999999996,51,60,25,23
"18140","Columbus, OH","Very Large",3.6,3.6,4.1,14.1,11.3,9.7,8.1,8.1,7.3,5.6,5.1,5.1,4.9,4.9,4.9,1.3,0,51,107,11,33
"18580","Corpus Christi, TX","Midsized",4.3,4.3,6.3,16.2,15,9.6,9.6,8.1,9.8,8.4,10.1,9.1,9.5,9.4,9.2,4.9,-0.200000000000001,183,4,79,2
"18880","Crestview-Fort Walton Beach-Destin, FL","Midsized",2.5,2.5,3.7,13.9,10.3,6.4,7.2,4.6,3.9,3.9,3.9,4,2.9,3.7,3.7,1.2,0,37,107,16,48
"19100","Dallas-Fort Worth-Arlington, TX","Very Large",3.2,3.2,4.7,13.2,12.6,8.1,7.5,6.3,7.5,6.2,7.4,6.7,7,6.9,6.8,3.6,-0.100000000000001,156,30,37,9
"19340","Davenport-Moline-Rock Island, IA-IL","Midsized",4.1,3.9,3.9,16,15.4,12,10,9,7.6,5.3,5.5,5.3,6.2,6,5.9,2,-0.0999999999999996,96,60,43,23
"19430","Dayton-Kettering, OH","Large",4.1,4,4.2,16.1,12.9,10.3,8.5,8.5,7.9,6,5.5,5.5,5.4,5.4,5.3,1.3,-0.100000000000001,42,30,15,6
"19660","Deltona-Daytona Beach-Ormond Beach, FL","Large",3.2,3.3,5,15,13.6,9.3,10.4,6.8,5.9,5.8,5.9,5.8,4.6,4.9,4.9,1.6,0,78,107,25,28
