cbsa,cbsatitle,metrosize,Q12019,Q22019,Q32019,Q42019,Q12020,Q22020,chg_imp,chg_traj,rank_imp,rank_traj,szrank_imp,szrank_traj
10420,"Akron, OH",Large,831,837,843,844,850,852,1.792114695,0.235294118,108,133,40,44
10580,"Albany-Schenectady-Troy, NY",Large,1193,1205,1212,1216,1225,1228,1.908713693,0.244897959,98,131,35,43
10740,"Albuquerque, NM",Large,815,836,847,845,850,864,3.349282297,1.647058824,28,23,12,8
10900,"Allentown-Bethlehem-Easton, PA-NJ",Large,1133,1148,1155,1157,1169,1179,2.700348432,0.855431993,62,73,25,29
11100,"Amarillo, TX",Midsized,698,699,712,719,716,721,3.147353362,0.698324022,38,87,14,40
11260,"Anchorage, AK ",Midsized,1023,1037,1037,1041,1058,1068,2.989392478,0.945179584,43,67,19,30
11460,"Ann Arbor, MI ",Midsized,1168,1192,1203,1195,1196,1210,1.510067114,1.170568562,125,48,56,22
11700,"Asheville, NC",Midsized,1099,1109,1116,1106,1116,1108,-0.090171326,-0.716845878,175,172,78,78
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Very Large,1212,1230,1241,1239,1237,1239,0.731707317,0.161681487,153,143,37,32
12100,"Atlantic City-Hammonton, NJ",Midsized,1068,1082,1084,1082,1101,1110,2.58780037,0.817438692,68,76,30,34
12260,"Augusta-Richmond County, GA-SC",Large,819,832,839,846,852,863,3.725961538,1.291079812,13,38,6,13
12420,"Austin-Round Rock-Georgetown, TX",Very Large,1250,1283,1294,1290,1293,1272,-0.857365549,-1.62412993,183,186,48,50
12540,"Bakersfield, CA",Large,885,897,906,914,921,926,3.232998885,0.542888165,32,101,15,36
12580,"Baltimore-Columbia-Towson, MD",Very Large,1254,1275,1281,1276,1284,1290,1.176470588,0.46728972,136,113,31,22
12940,"Baton Rouge, LA",Large,921,917,919,913,923,933,1.744820065,1.083423619,113,57,41,19
13140,"Beaumont-Port Arthur, TX ",Midsized,789,798,798,808,810,807,1.127819549,-0.37037037,138,161,61,75
13820,"Birmingham-Hoover, AL",Very Large,924,947,958,953,951,969,2.32312566,1.892744479,83,10,14,1
14260,"Boise City, ID",Large,1061,1079,1084,1089,1100,1119,3.707136237,1.727272727,14,17,7,5
14460,"Boston-Cambridge-Newton, MA-NH",Very Large,2129,2178,2179,2175,2179,2151,-1.239669421,-1.284993116,185,182,50,47
14500,"Boulder, CO ",Midsized,1545,1590,1590,1569,1573,1569,-1.320754717,-0.254291163,187,160,81,74
14740,"Bremerton-Silverdale-Port Orchard, WA",Midsized,1282,1305,1294,1298,1301,1307,0.153256705,0.461183705,171,115,77,54
14860,"Bridgeport-Stamford-Norwalk, CT",Large,2016,2056,2052,2022,2036,2039,-0.826848249,0.147347741,181,145,56,45
15180,"Brownsville-Harlingen, TX",Midsized,694,704,712,717,721,729,3.551136364,1.109570042,16,54,8,25
15380,"Buffalo-Cheektowaga, NY",Very Large,953,959,961,969,974,979,2.085505735,0.513347023,93,108,18,21
15940,"Canton-Massillon, OH ",Midsized,723,730,737,741,743,745,2.054794521,0.269179004,94,129,44,62
15980,"Cape Coral-Fort Myers, FL",Large,1194,1201,1219,1226,1227,1207,0.49958368,-1.62999185,162,187,48,56
16300,"Cedar Rapids, IA",Midsized,733,739,742,746,746,746,0.947225981,0,146,154,67,70
16620,"Charleston, WV ",Midsized,762,762,766,756,776,779,2.230971129,0.386597938,86,123,40,59
16700,"Charleston-North Charleston, SC",Large,1190,1202,1213,1206,1217,1208,0.499168053,-0.739523418,163,174,49,54
16740,"Charlotte-Concord-Gastonia, NC-SC",Very Large,1125,1145,1152,1154,1157,1157,1.048034934,0,144,154,34,35
16860,"Chattanooga, TN-GA",Large,922,935,942,941,948,962,2.887700535,1.476793249,51,28,19,10
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Very Large,1342,1362,1362,1356,1371,1356,-0.440528634,-1.094091904,179,179,46,44
17140,"Cincinnati, OH-KY-IN",Very Large,877,893,899,901,908,910,1.903695409,0.220264317,99,136,20,27
17300,"Clarksville, TN-KY ",Midsized,845,861,875,876,876,884,2.671312427,0.913242009,65,69,28,31
17460,"Cleveland-Elyria, OH",Very Large,884,897,905,906,913,915,2.006688963,0.21905805,95,137,19,28
17780,"College Station-Bryan, TX",Midsized,884,871,889,889,907,892,2.411021814,-1.653803749,75,188,34,82
17820,"Colorado Springs, CO",Large,1083,1118,1128,1132,1145,1156,3.398926655,0.96069869,24,66,10,24
17900,"Columbia, SC",Large,896,916,926,926,926,943,2.947598253,1.835853132,47,14,18,4
17980,"Columbus, GA-AL",Midsized,784,798,806,813,820,822,3.007518797,0.243902439,41,132,17,64
18140,"Columbus, OH",Very Large,939,948,955,958,968,980,3.375527426,1.239669421,26,41,5,9
18580,"Corpus Christi, TX",Midsized,932,949,957,963,961,967,1.896733404,0.624349636,101,95,46,43
18880,"Crestview-Fort Walton Beach-Destin, FL ",Midsized,1158,1202,1178,1175,1169,1183,-1.580698835,1.19760479,188,47,82,21
19100,"Dallas-Fort Worth-Arlington, TX",Very Large,1143,1162,1176,1172,1182,1180,1.549053356,-0.169204738,122,157,27,37
19340,"Davenport-Moline-Rock Island, IA-IL ",Midsized,811,816,814,817,819,825,1.102941176,0.732600733,140,84,62,38
19430,"Dayton-Kettering, OH",Large,768,776,787,791,796,803,3.479381443,0.879396985,20,71,9,27
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Large,1046,1053,1061,1064,1053,1054,0.094966762,0.094966762,172,148,52,46
19740,"Denver-Aurora-Lakewood, CO",Very Large,1412,1442,1444,1428,1438,1430,-0.832177531,-0.556328234,182,167,47,40
19780,"Des Moines-West Des Moines, IA",Large,907,923,932,930,929,937,1.516793066,0.861141012,124,72,42,28
19820,"Detroit-Warren-Dearborn, MI",Very Large,957,971,975,974,982,994,2.36869207,1.221995927,78,43,13,10
20260,"Duluth, MN-WI ",Midsized,958,965,970,963,956,961,-0.414507772,0.523012552,178,105,79,49
20500,"Durham-Chapel Hill, NC",Large,1110,1137,1139,1139,1152,1158,1.846965699,0.520833333,107,106,39,38
21340,"El Paso, TX",Large,739,747,760,761,763,768,2.81124498,0.655307995,55,94,22,34
21500,"Erie, PA",Midsized,815,817,819,827,833,836,2.325581395,0.360144058,82,126,38,60
21660,"Eugene-Springfield, OR",Midsized,1079,1108,1113,1108,1117,1126,1.624548736,0.805729633,119,78,53,35
21780,"Evansville, IN-KY",Midsized,720,725,725,727,730,736,1.517241379,0.821917808,123,75,55,33
22180,"Fayetteville, NC ",Large,789,796,803,809,815,841,5.653266332,3.190184049,2,1,1,1
22220,"Fayetteville-Springdale-Rogers, AR",Large,791,802,808,809,811,821,2.369077307,1.233045623,77,42,30,14
22420,"Flint, MI ",Midsized,720,730,737,739,741,749,2.602739726,1.079622132,67,58,29,27
22660,"Fort Collins, CO",Midsized,1245,1263,1271,1259,1269,1290,2.137767221,1.654846336,88,21,41,12
22900,"Fort Smith, AR-OK ",Midsized,605,608,609,610,611,612,0.657894737,0.163666121,157,142,73,67
23060,"Fort Wayne, IN",Midsized,743,741,746,751,750,752,1.484480432,0.266666667,126,130,57,63
23420,"Fresno, CA",Large,968,980,993,999,1003,1011,3.163265306,0.797607178,37,80,17,32
23540,"Gainesville, FL ",Midsized,1034,1051,1063,1066,1073,1082,2.949571836,0.838769804,46,74,20,32
24340,"Grand Rapids-Kentwood, MI",Very Large,948,964,969,975,982,998,3.526970954,1.629327902,19,27,3,4
24540,"Greeley, CO",Midsized,1154,1174,1182,1167,1177,1159,-1.277683135,-1.52931181,186,184,80,81
24580,"Green Bay, WI ",Midsized,774,782,785,786,790,796,1.79028133,0.759493671,109,82,48,37
