"cbsa_code","cbsatitle","metrosize","posts_jan20","posts_feb20","posts_mar20","posts_apr20","posts_may20","posts_jun20","posts_jul20","posts_aug20","posts_sep20","posts_oct20","posts_nov20","posts_dec20","posts_jan21","posts_feb21","posts_mar21","posts_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"10420","Akron, OH","Large",29534,27145,28577,22987,23599,23677,25573,27058,24048,24695,24268,26420,23847,24838,27807,28959,6.68263031865905,4.14284173049951,169,51,51,15
"10580","Albany-Schenectady-Troy, NY","Large",39304,33395,35774,33299,34099,34057,38047,37828,37312,39301,37929,41414,39522,41107,52042,52810,58.137445725408,1.47573114023289,11,91,6,29
"10740","Albuquerque, NM","Large",34283,31349,32855,30625,30417,30311,32297,34605,28592,30422,29980,31055,30642,31743,35722,34536,10.1661934989952,-3.32008286210179,151,155,46,44
"10900","Allentown-Bethlehem-Easton, PA-NJ","Large",32178,26877,28290,24048,27302,25983,27294,29633,30473,33238,33169,37022,33280,34307,37101,37822,40.7225508799345,1.94334384517938,43,84,17,27
"11100","Amarillo, TX","Midsized",7691,7306,7423,6327,6306,6119,6555,7018,7095,8148,8190,8805,8570,8831,10281,10449,43.0194360799343,1.6340822877152,34,90,16,37
"11260","Anchorage, AK","Midsized",19367,18877,19251,18289,18453,16728,17683,18293,15452,15275,18122,18253,13298,13958,15516,15995,-15.2672564496477,3.08713585975767,190,65,81,31
"11460","Ann Arbor, MI","Midsized",17072,15345,15569,13288,12850,12893,13770,14829,14649,15285,14181,15177,14777,15470,18006,17906,16.6894753991528,-0.555370432078196,121,125,52,51
"11700","Asheville, NC","Midsized",17984,15921,16125,14199,14749,14747,16571,17891,17518,19376,18792,20160,18659,19938,21924,23389,46.9066013441367,6.68217478562306,25,25,12,14
"12060","Atlanta-Sandy Springs-Alpharetta, GA","Very Large",264484,231809,237747,207930,212860,217608,236022,249931,213569,227976,230216,245474,232943,239094,261423,262815,13.3756670362238,0.532470364122514,135,112,36,33
"12100","Atlantic City-Hammonton, NJ","Midsized",8401,7819,7792,6349,6797,6038,6179,6973,6931,6606,7233,8321,7452,7837,8554,9808,25.4380355544187,14.6598082768296,96,8,41,3
"12260","Augusta-Richmond County, GA-SC","Large",21283,19049,19604,17644,18807,17297,18036,19743,19872,20803,20134,21584,20828,21694,22286,22908,20.2582812746076,2.79098985910437,112,70,38,23
"12420","Austin-Round Rock-Georgetown, TX","Very Large",113013,101240,115760,104585,106817,107549,114198,120670,90272,95646,90848,96931,97227,114056,146616,143001,41.2495061240616,-2.46562448845965,41,147,7,48
"12540","Bakersfield, CA","Large",23732,21596,24142,21210,21530,19412,19675,20773,16225,16579,16241,17197,15791,16409,18413,19210,-11.0483422856084,4.32846358551024,189,46,56,14
"12580","Baltimore-Columbia-Towson, MD","Very Large",145071,121560,127847,112782,120933,123244,134932,137526,118959,125501,126238,132173,120032,124789,142205,139705,14.9267851266864,-1.75802538588657,127,137,33,42
"12940","Baton Rouge, LA","Large",32576,27525,24938,22243,22682,23606,22018,23019,25067,26533,27214,28254,26073,27172,30731,30829,12.0036330608538,0.318896228563991,139,113,44,37
