cbsa_code,cbsatitle,metrosize,work_feb20,work_mar20,work_apr20,work_may20,work_jun20,work_jul20,work_aug20,work_sep20,work_oct20,work_nov20,work_dec20,work_jan21,work_feb21,work_mar21,work_apr21,chg_imp,chg_traj,rank_imp,szrank_imp,rank_traj,szrank_traj
10420,"Akron, OH",Large,-.0666666701436043,-19.41917896270752,-45.83306121826172,-35.75652122497559,-27.77149391174316,-30.90794086456299,-26.94257783889771,-26.69216775894165,-22.56301879882813,-27.07668542861938,-32.61034727096558,-26.29763889312744,-23.92296171188354,-23.2431263923645,-24.75888109207153,-24.758881,-1.52,104,38,159,48
10580,"Albany-Schenectady-Troy, NY",Large,-3.570324014872313,-20.73670896887779,-49.11217164993286,-41.3847781419754,-33.17300349473953,-34.19127523899078,-31.56107103824615,-32.40850687026978,-28.58155709505081,-31.64100325107574,-37.35152906179428,-34.63029664754868,-33.24648332595825,-30.70810556411743,-32.07562726736069,-32.075626,-1.37,175,56,152,42
10740,"Albuquerque, NM",Large,.3107853755354881,-19.76798474788666,-46.88516747951508,-38.71426436305046,-31.48259687423706,-34.85101333260536,-32.03932476043701,-32.64880099892616,-31.42389214038849,-38.12262326478958,-38.65164440870285,-34.28989309072495,-32.61745163798332,-31.4708811044693,-29.4085687994957,-29.408569,2.0599999,157,50,13,4
10900,"Allentown-Bethlehem-Easton, PA-NJ",Large,.7272822596132755,-20.31841540336609,-48.59094429016113,-37.47864007949829,-29.2435154914856,-31.13578593730927,-28.8409811258316,-28.39637887477875,-23.87239444255829,-27.84301233291626,-34.24059414863586,-29.46134555339813,-31.1314023733139,-24.17161130905151,-25.46252536773682,-25.462524,-1.29,114,39,148,39
11100,"Amarillo, TX",Midsized,-.5774385072290897,-13.11456155776978,-35.78716492652893,-28.91723620891571,-22.19058555364609,-26.07279616594315,-22.42512667179108,-20.67770424485207,-21.00314992666245,-22.34476411342621,-23.79238569736481,-19.28199845552444,-20.71330124139786,-15.63647842407227,-13.38397574424744,-13.383976,2.25,1,1,10,7
11260,"Anchorage, AK",Midsized,-.6416008472442627,-19.59052276611328,-43.76343631744385,-31.79201126098633,-25.41744184494019,-28.93117094039917,-27.79899263381958,-27.91142559051514,-25.46736860275269,-31.6883749961853,-33.34189891815186,-27.57770872116089,-25.66189384460449,-26.11028003692627,-22.53966569900513,-22.539665,3.5699999,77,54,6,4
11460,"Ann Arbor, MI",Midsized,-2.200000047683716,-31.25806427001953,-66.80000305175781,-55.41935348510742,-44.36666488647461,-44.29032135009766,-40.80644989013672,-40.83333206176758,-37.35483932495117,-41.26666641235352,-45.06451797485352,-40.09677505493164,-40.64285659790039,-39.96774291992188,-41.56666564941406,-41.566666,-1.6,190,82,160,66
11700,"Asheville, NC",Midsized,-.6496870070695877,-15.61301529407501,-42.36791384220123,-33.47080886363983,-26.77809512615204,-29.64195716381073,-26.62751197814941,-24.70960891246796,-20.44721436500549,-22.68766701221466,-27.6211302280426,-26.50068640708923,-22.67169988155365,-20.545638859272,-22.19674789905548,-22.196749,-1.65,73,53,161,67
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Very Large,-1.458187383366749,-20.75934980623424,-49.74801864475012,-39.29521695151925,-34.16744215413928,-37.8417807854712,-33.8193485699594,-33.77521515637636,-30.07813434675336,-32.04307466000319,-35.10595949739218,-32.57593040540814,-29.82074291910976,-28.94932540133595,-30.60176536813378,-30.601765,-1.65,168,37,161,47
12100,"Atlantic City-Hammonton, NJ",Midsized,1.266666650772095,-24.32258033752441,-56.70000076293945,-49,-38.90000152587891,-33.45161437988281,-27.12903213500977,-26.23333358764648,-24.35483932495117,-28.60000038146973,-32.45161437988281,-31.54838752746582,-32.03571319580078,-28.29032325744629,-29,-29,-.70999998,154,76,121,50
12260,"Augusta-Richmond County, GA-SC",Large,-1.321381306974217,-13.82196305692196,-40.54996791481972,-30.25019353628159,-25.04398506879807,-30.19299432635307,-26.08767729997635,-24.267648473382,-19.26749895513058,-23.20902302861214,-26.21370255947113,-23.42710420489311,-19.31630897521973,-18.3071052134037,-21.60921022295952,-21.609211,-3.3,66,16,184,54
12420,"Austin-Round Rock-Georgetown, TX",Very Large,1.045247477479279,-23.73472610116005,-53.70976608991623,-43.30686545372009,-38.43868726491928,-42.13838773965836,-38.31485396623611,-38.54918265342712,-33.8120950460434,-35.72159641981125,-38.29137980937958,-35.56366735696793,-43.67386639118195,-33.36788856983185,-32.49149492383003,-32.491493,.88,178,43,51,12
12540,"Bakersfield, CA",Large,-1.666666626930237,-15.12903213500977,-39.03333282470703,-30.54838752746582,-26.5,-32.64516067504883,-30.58064460754395,-29.89999961853027,-26.22580718994141,-28.66666603088379,-32.29032135009766,-29.74193572998047,-26.8214282989502,-25.54838752746582,-24.70000076293945,-24.700001,.85000002,103,37,54,16
12580,"Baltimore-Columbia-Towson, MD",Very Large,.4336723322048783,-20.62465608119965,-50.82011502981186,-43.10088181495667,-35.27916052937508,-36.37819895148277,-34.02618193626404,-34.79230865836143,-31.12457996606827,-34.02632713317871,-37.38767597079277,-35.10544842481613,-36.08721414208412,-31.47149068117142,-31.35158798098564,-31.351587,.12,171,39,92,29
12940,"Baton Rouge, LA",Large,-2.228741627186537,-15.2749235779047,-42.60093104839325,-31.48871847987175,-25.68588972091675,-30.39180561900139,-28.47686952352524,-24.39911115169525,-21.11733996868134,-23.53316044807434,-25.86859983205795,-22.38954722881317,-24.28959502279758,-18.79812504351139,-22.65372873842716,-22.653728,-3.8599999,78,23,189,57
13140,"Beaumont-Port Arthur, TX",Midsized,1.428178563714027,-12.74316990375519,-34.74112987518311,-24.94872570037842,-21.13820052146912,-27.41101360321045,-31.93352365493774,-24.38834166526794,-19.70820641517639,-20.41993284225464,-24.10901260375977,-19.57531094551086,-24.142578125,-18.59488725662231,-19.36775803565979,-19.367758,-.76999998,38,33,124,53
13820,"Birmingham-Hoover, AL",Very Large,.6654179394245148,-17.13579548895359,-41.96485137939453,-32.45435306429863,-27.34636995196342,-31.76762545108795,-28.4028240442276,-28.64727774262428,-24.98403415083885,-27.83929926156998,-31.02682518959045,-27.52124121785164,-25.22881624102592,-24.27819263935089,-22.72198906540871,-22.721989,1.5599999,79,2,25,5
14260,"Boise City, ID",Large,-.0843690223991871,-17.59551982581615,-45.34050914645195,-34.23938682675362,-27.93211477994919,-32.94565567374229,-29.44047445058823,-28.64283500611782,-25.35057877004147,-29.96248316764832,-31.53322191536427,-26.56084716320038,-23.88727411627769,-23.90561300516129,-21.59861351549625,-21.598614,2.3099999,65,15,9,2
14460,"Boston-Cambridge-Newton, MA-NH",Very Large,-4.118907637894154,-26.01198542118073,-57.9430947303772,-48.72294473648071,-39.5839496254921,-40.00649732351303,-36.65287303924561,-36.5540788769722,-33.57521462440491,-36.25064700841904,-41.22312015295029,-38.05988198518753,-37.48517525196075,-34.68134719133377,-35.35558569431305,-35.355587,-.67000002,185,49,118,38
14500,"Boulder, CO",Midsized,1.600000023841858,-28.48387145996094,-59.43333435058594,-48.22580718994141,-40.5,-42.6129035949707,-39.16128921508789,-40.93333435058594,-38.87096786499023,-42.56666564941406,-46.16128921508789,-39.74193572998047,-39.60714340209961,-42.96774291992188,-38.26666641235352,-38.266666,4.6999998,189,81,3,3
14740,"Bremerton-Silverdale-Port Orchard, WA",Midsized,-2.066666603088379,-21.70967674255371,-46.09999847412109,-37.29032135009766,-29.60000038146973,-31.3870964050293,-28.87096786499023,-29.76666641235352,-24.70967674255371,-28.76666641235352,-32.58064651489258,-29.51612854003906,-30.21428489685059,-25.70967674255371,-24.96666717529297,-24.966667,.74000001,108,62,63,28
14860,"Bridgeport-Stamford-Norwalk, CT",Large,-1.866666674613953,-24.03225898742676,-54.06666564941406,-42.77419281005859,-33.36666488647461,-34.12903213500977,-32.29032135009766,-29.53333282470703,-25.22580718994141,-30.26666641235352,-34.80644989013672,-30.45161247253418,-32.89285659790039,-28.29032325744629,-29.79999923706055,-29.799999,-1.51,162,52,157,47
15180,"Brownsville-Harlingen, TX",Midsized,-1.133333325386047,-18.22580718994141,-47.36666488647461,-32.74193572998047,-30.9333324432373,-40.64516067504883,-34.16128921508789,-34.43333435058594,-29.6129035949707,-30.33333396911621,-32.74193572998047,-30.29032325744629,-33.10714340209961,-28.12903213500977,-27.5,-27.5,.63,138,70,71,31
15380,"Buffalo-Cheektowaga, NY",Very Large,-4.028139024972916,-19.580157995224,-51.0571174621582,-42.38612174987793,-32.21138525009155,-33.80547523498535,-30.01199007034302,-29.04588842391968,-24.82687091827393,-29.9723539352417,-35.536057472229,-30.76170301437378,-29.68484282493591,-27.5611834526062,-30.07670521736145,-30.076706,-2.52,164,35,181,51
15940,"Canton-Massillon, OH",Midsized,.4711992405354977,-16.44558066129684,-40.21765398979187,-30.76212930679321,-23.5713871717453,-26.26857221126556,-21.52375614643097,-17.62700569629669,-12.9445304274559,-18.01869606971741,-23.50543618202209,-17.14584547281265,-14.65843707323074,-12.80517154932022,-14.31973475217819,-14.319735,-1.51,4,4,157,65
