cbsa_code,cbsatitle,metrosize,open_mar20,open_apr20,open_may20,open_jun20,open_jul20,open_aug20,open_sep20,open_oct20,open_nov20,open_dec20,open_jan21,open_feb21,open_mar21,open_apr21,chg_imp,chg_traj,szrank_imp,szrank_traj
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Very Large,-17.11935484,-45.57333333,-30.29032258,-19.94,-20.14193548,-17.67096774,-17.26666667,-16.06774194,-20.10666667,-23.63548387,-24.22903226,-21.68214286,-21.75483871,-24.17666667,-24.17666667,-2.421827957,19,47
12420,"Austin-Round Rock-Georgetown, TX",Very Large,-16.69354839,-41.46333333,-24.42258065,-16.55333333,-17.43870968,-15.83225806,-16.09666667,-15.95483871,-19.11666667,-22.24516129,-21.34193548,-32.30714286,-19.19677419,-19.99333333,-19.99333333,-0.79655914,6,22
12580,"Baltimore-Columbia-Towson, MD",Very Large,-19.45483871,-50.28666667,-37.80322581,-20.98,-13.69677419,-11.62258065,-13.36666667,-13.97741935,-19.30333333,-24.46774194,-25.71935484,-24.86071429,-18.93548387,-20.02,-20.02,-1.084516129,8,33
13820,"Birmingham-Hoover, AL",Very Large,-18.51290323,-43.76333333,-29.74516129,-21.56333333,-23.3,-18.2,-20.83333333,-18.7516129,-23.14666667,-24.17096774,-23.00322581,-21.69642857,-22.18064516,-23.23333333,-23.23333333,-1.052688172,14,32
14460,"Boston-Cambridge-Newton, MA-NH",Very Large,-26.49032258,-57.87666667,-49.20967742,-34.02,-27.34193548,-23.41935484,-25.62333333,-28.14193548,-32.73,-36.56774194,-37.29354839,-35.60714286,-32.52580645,-30.84,-30.84,1.685806452,48,2
15380,"Buffalo-Cheektowaga, NY",Very Large,-26.21290323,-57.03666667,-48.32258065,-33.23333333,-23.30322581,-16.86451613,-17.32666667,-19.00967742,-25.78666667,-35.67096774,-35.54193548,-31.13571429,-27.39032258,-30.29,-30.29,-2.899677419,45,49
16740,"Charlotte-Concord-Gastonia, NC-SC",Very Large,-16.37096774,-42.84333333,-32.31612903,-19.94,-20.67096774,-18.44193548,-18.93666667,-17.99677419,-21.15,-24.66451613,-23.23548387,-22.45714286,-21.88064516,-23.44,-23.44,-1.559354839,16,38
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Very Large,-23.49354839,-50.79666667,-41.50645161,-28.89666667,-18.33548387,-16.4483871,-17.70333333,-18.76451613,-27.21,-32.98387097,-30.34193548,-25.28571429,-23.44193548,-24.55,-24.55,-1.108064516,21,34
17140,"Cincinnati, OH-KY-IN",Very Large,-15.73548387,-41.32666667,-28.16774194,-9.823333333,-9.135483871,-8.061290323,-9.2,-9.277419355,-16.33666667,-20.12258065,-19.46451613,-19.16785714,-16.26129032,-16.26666667,-16.26666667,-0.005376344,2,11
17460,"Cleveland-Elyria, OH",Very Large,-20.30645161,-46.70666667,-29.6483871,-13.28666667,-12.71612903,-10.80645161,-12.89,-13.81290323,-19.07333333,-23.34516129,-24.27096774,-22.51428571,-21.53870968,-22.53,-22.53,-0.991290323,12,29
18140,"Columbus, OH",Very Large,-21.39677419,-47.55,-25.96451613,-12.28333333,-11.86129032,-12.04516129,-12.90666667,-12.57096774,-19.15333333,-21.40645161,-20.34193548,-18.90357143,-17.4483871,-17.46,-17.46,-0.011612903,3,12
19100,"Dallas-Fort Worth-Arlington, TX",Very Large,-18.96451613,-42.11333333,-27.85806452,-19.84333333,-22.06774194,-20.96774194,-22.29,-20.50645161,-23.97666667,-27.01612903,-26.41612903,-35.21785714,-25.68709677,-26.85,-26.85,-1.162903226,34,35
19740,"Denver-Aurora-Lakewood, CO",Very Large,-19.9516129,-47.18333333,-32.52258065,-20.41,-18.68387097,-16.86774194,-18.53,-18.71290323,-24.93,-29.92258065,-26.42258065,-25.56428571,-28.15806452,-25.80333333,-25.80333333,2.354731183,31,1
19820,"Detroit-Warren-Dearborn, MI",Very Large,-27.75806452,-65.88333333,-53.72580645,-35.83666667,-30.76129032,-27.19677419,-27.32666667,-25.33870968,-32.15666667,-37.89677419,-35.85806452,-30.29285714,-29.57419355,-30.61333333,-30.61333333,-1.039139785,46,31
25540,"Hartford-East Hartford-Middletown, CT",Very Large,-18.72903226,-51.22666667,-38.36451613,-27.57,-25.78387097,-23.70645161,-22.34,-20.56774194,-26.93,-31.95806452,-28.63870968,-28.76071429,-24.28387097,-26.77333333,-26.77333333,-2.489462366,32,48
26420,"Houston-The Woodlands-Sugar Land, TX",Very Large,-19.09032258,-42.94333333,-28.6516129,-21.79333333,-25.78387097,-24.39354839,-24.9,-22.52258065,-25.4,-28.27096774,-27.99354839,-34.26428571,-25.94516129,-26.79,-26.79,-0.84483871,33,23
26900,"Indianapolis-Carmel-Anderson, IN",Very Large,-20.61935484,-48.27333333,-32.73870968,-18.49,-15.12903226,-10.8,-12.01666667,-14.41290323,-22.53,-27.71935484,-27.42580645,-28.05357143,-24.30645161,-24.68333333,-24.68333333,-0.37688172,22,14
27260,"Jacksonville, FL",Very Large,-13.80322581,-38.11666667,-21.47419355,-12.22,-13.38387097,-10.62580645,-12.82666667,-12.34516129,-15.90666667,-18.52580645,-16.91290323,-14.73928571,-16.04516129,-18.24666667,-18.24666667,-2.201505376,5,43
28140,"Kansas City, MO-KS",Very Large,-14.17096774,-37.07333333,-23.67419355,-14.09,-16.29677419,-14.43870968,-16.92333333,-16.91612903,-20.38333333,-26.09677419,-27.91935484,-27.95714286,-26.26774194,-27.92666667,-27.92666667,-1.658924731,38,39
29820,"Las Vegas-Henderson-Paradise, NV",Very Large,-24.73870968,-55.71,-41.05483871,-25.17666667,-24.21290323,-23.08064516,-25.02333333,-23.05806452,-25.96333333,-28.8,-28.61612903,-27.425,-27.46129032,-28.96,-28.96,-1.498709677,41,37
31080,"Los Angeles-Long Beach-Anaheim, CA",Very Large,-22.10645161,-47.65333333,-38.97419355,-28.85,-28.92903226,-28.32580645,-27.79,-27.26129032,-28.71,-33.69032258,-33.72258065,-29.52857143,-29.32903226,-29.88666667,-29.88666667,-0.557634409,43,19
31140,"Louisville/Jefferson County, KY-IN",Very Large,-19.82258065,-51.12333333,-35.26129032,-22.99666667,-20.99677419,-19.59677419,-20.58,-19.94193548,-25.23,-29.20645161,-30.45806452,-34.49642857,-29.70645161,-29.97666667,-29.97666667,-0.270215054,44,13
32820,"Memphis, TN-MS-AR",Very Large,-11.9483871,-32.57,-22.12580645,-13.03,-16.7516129,-16.67741935,-15.28333333,-12.48064516,-19.83333333,-24.82258065,-21.47741935,-29.25357143,-19.70967742,-23.41,-23.41,-3.700322581,15,50
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Very Large,-23.52903226,-53.13333333,-39.79677419,-25.98333333,-27.22903226,-27.69354839,-27.80333333,-26.93870968,-29.57666667,-30.10645161,-28.62903226,-28.17142857,-28.78709677,-30.81666667,-30.81666667,-2.029569892,47,42
33340,"Milwaukee-Waukesha, WI",Very Large,-13.7,-33.41,-19.52903226,-3.316666667,-2.34516129,-0.419354839,-3.26,-3.035483871,-10.07,-11.27741935,-11.32580645,-10.58214286,-9.016129032,-9.996666667,-9.996666667,-0.980537634,1,28
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Very Large,-20.71935484,-45.77333333,-34.53225806,-18.39666667,-16.4,-12.43870968,-14.11333333,-15.43225806,-22.61666667,-27.80322581,-25.24193548,-23.30714286,-21.18064516,-21.00666667,-21.00666667,0.173978495,10,10
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Very Large,-16.71290323,-43.17666667,-26.1516129,-16.24333333,-17.92580645,-17.1,-16.84666667,-15.71290323,-19.24666667,-24.20645161,-22.93870968,-29.68928571,-22.74193548,-25.13666667,-25.13666667,-2.394731183,24,46
35380,"New Orleans-Metairie, LA",Very Large,-22.54516129,-54.01,-44.38387097,-33.94333333,-32.79677419,-31.81290323,-28.85666667,-27.19032258,-26.74,-29.39032258,-29.47741935,-28.225,-25.76774194,-27.52,-27.52,-1.752258065,36,40
35620,"New York-Newark-Jersey City, NY-NJ-PA",Very Large,-26.16451613,-62.05333333,-52.62258065,-39.88,-31.8516129,-30.09354839,-28.90666667,-28.38064516,-31.11333333,-34.74193548,-34.71935484,-35.25357143,-31.46451613,-31.85,-31.85,-0.385483871,49,15
36420,"Oklahoma City, OK",Very Large,-18.25483871,-38.67,-22.30322581,-13.47333333,-15.42580645,-15.46129032,-18.73666667,-21.72580645,-23.76,-25.98709677,-25.27419355,-31.40357143,-22.68064516,-23.96,-23.96,-1.279354839,17,36
36740,"Orlando-Kissimmee-Sanford, FL",Very Large,-18.34193548,-48.15,-30.3516129,-18.69,-20.78387097,-19.46774194,-20.14333333,-19.52903226,-22.67666667,-23.9,-23.54193548,-21.58571429,-23.31612903,-25.63333333,-25.63333333,-2.317204301,28,44
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Very Large,-21.36451613,-52.24333333,-42.71612903,-29.14333333,-21.77419355,-19.37741935,-19.92,-21.31612903,-27.02666667,-32.18387097,-30.78709677,-31.42857143,-23.59677419,-24.05666667,-24.05666667,-0.459892473,18,17
38060,"Phoenix-Mesa-Chandler, AZ",Very Large,-13.46451613,-35.78666667,-27.55483871,-20.43666667,-23.47096774,-22.11290323,-22.14333333,-21.60322581,-24.99666667,-28.02580645,-27.5483871,-26.13928571,-26.76129032,-27.76333333,-27.76333333,-1.002043011,37,30
38300,"Pittsburgh, PA",Very Large,-24.82903226,-56.77333333,-42.66774194,-16.92,-17.32258065,-13.3516129,-15.48333333,-14.04193548,-19.15666667,-30.0516129,-28.84193548,-25.68214286,-21.04516129,-20.41333333,-20.41333333,0.631827957,9,7
38900,"Portland-Vancouver-Hillsboro, OR-WA",Very Large,-22.76451613,-49.63333333,-39.56774194,-28.21,-25.2,-24.29354839,-26.25,-21.99354839,-27.68333333,-33.20322581,-31.31935484,-32.34642857,-26.03225806,-25.58,-25.58,0.452258065,27,8
39300,"Providence-Warwick, RI-MA",Very Large,-20.93870968,-50.05333333,-36.2516129,-20.28666667,-13.85806452,-8.909677419,-8.653333333,-11.04193548,-16.48666667,-22.75806452,-22.31290323,-20.57857143,-19.17419355,-18.23333333,-18.23333333,0.940860215,4,5
39580,"Raleigh-Cary, NC",Very Large,-16.85483871,-44.32666667,-36.51290323,-25.06666667,-24.70967742,-23.26129032,-22.16666667,-20.17741935,-23.17,-25.78709677,-25.23225806,-24.84285714,-25.37741935,-25.79666667,-25.79666667,-0.419247312,30,16
40060,"Richmond, VA",Very Large,-18.02258065,-46.24333333,-40.40967742,-30.73,-28.39032258,-25.98709677,-23.73666667,-23.09677419,-27.27333333,-29.05806452,-30.06129032,-29.49285714,-27.60322581,-27.24333333,-27.24333333,0.359892473,35,9
40140,"Riverside-San Bernardino-Ontario, CA",Very Large,-18.46451613,-41.58333333,-31.98064516,-20.63333333,-22.98387097,-22.21290323,-20.52,-18.27741935,-21.45,-26.28709677,-26.26774194,-22.04642857,-22.5483871,-24.36666667,-24.36666667,-1.81827957,20,41
40900,"Sacramento--Roseville-Folsom, CA",Very Large,-20.38064516,-41.64666667,-34.45483871,-23.26,-23.52580645,-21.0483871,-18.84,-18.37741935,-21.80666667,-26.32258065,-27.08387097,-24.89285714,-24.72258065,-25.25333333,-25.25333333,-0.530752688,25,18
41180,"St. Louis, MO-I",Very Large,-18.95806452,-52.56,-34.94193548,-22.2,-19.16774194,-17.76451613,-20.01666667,-18.93548387,-23.92333333,-29.18064516,-27.9483871,-27.59642857,-23.82258065,-22.76,-22.76,1.062580645,13,4
41620,"Salt Lake City, UT",Very Large,-18.61935484,-40.16,-27.07419355,-20.67666667,-23.25806452,-21.80645161,-20.99333333,-19.23548387,-26.62,-29.26129032,-27.40967742,-26.19285714,-28.57741935,-29.45666667,-29.45666667,-0.879247312,42,24
41700,"San Antonio-New Braunfels, TX",Very Large,-19.73548387,-43.93666667,-27.57741935,-18.73333333,-23.5,-22.13870968,-22.37333333,-23.33225806,-26.54666667,-28.91935484,-29.17419355,-38.83214286,-27.60322581,-28.58,-28.58,-0.976774194,40,27
41740,"San Diego-Chula Vista-Carlsbad, CA",Very Large,-24.11612903,-49.89333333,-39.77741935,-27.22333333,-27.07096774,-26.31290323,-23.27333333,-21.82580645,-24.18,-30.42580645,-29.81290323,-25.51785714,-25.1516129,-25.77,-25.77,-0.618387097,29,20
41860,"San Francisco-Oakland-Berkeley, CA",Very Large,-25.97741935,-54.41,-44.89354839,-36.15,-33.35483871,-33.07419355,-31.97,-29.84193548,-31.97666667,-37.86774194,-38.44516129,-34.58571429,-33.32580645,-32.60333333,-32.60333333,0.722473118,50,6
41940,"San Jose-Sunnyvale-Santa Clara, CA",Very Large,-27.50322581,-51.93333333,-40.27741935,-28.53333333,-27.24193548,-27.26129032,-22.75666667,-21.48387097,-23.70333333,-28.26129032,-27.04193548,-23.38928571,-20.74193548,-21.42333333,-21.42333333,-0.681397849,11,21
42660,"Seattle-Tacoma-Bellevue, WA",Very Large,-22.04516129,-47.20333333,-37.66774194,-26.65666667,-22.42258065,-21.19354839,-21.45666667,-20.8,-25.48333333,-29.73225806,-28.84516129,-27.36071429,-23.98709677,-24.89,-24.89,-0.902903226,23,25
45300,"Tampa-St. Petersburg-Clearwater, FL",Very Large,-17.04193548,-43.04,-26.77741935,-18.81,-21.32903226,-18.88709677,-18.57,-17.34193548,-21.30666667,-23.39354839,-23.07419355,-22.11785714,-22.9516129,-25.29666667,-25.29666667,-2.345053763,26,45
47260,"Virginia Beach-Norfolk-Newport News, VA-NC",Very Large,-13.6483871,-34.78,-27.70645161,-14.93666667,-14.20645161,-14.12580645,-13.50333333,-14.93548387,-21.72333333,-25.45806452,-24.68709677,-22.53928571,-21.23548387,-20,-20,1.235483871,7,3
47900,"Washington-Arlington-Alexandria, DC-VA-MD-WV",Very Large,-19.8,-51.37333333,-45.24516129,-30.86,-26.11935484,-24.62580645,-24.51666667,-24.2516129,-27.86333333,-31.32258065,-32.60645161,-32.19642857,-27.59354839,-28.54,-28.54,-0.946451613,39,26
