cbsa_code,cbsatitle,metrosize,hours_mar20,hours_apr20,hours_may20,hours_jun20,hours_jul20,hours_aug20,hours_sep20,hours_oct20,hours_nov20,hours_dec20,hours_jan21,hours_feb21,hours_mar21,hours_apr21,chg_imp,chg_traj,szrank_imp,szrank_traj
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Very Large,-24.42903226,-55.50333333,-37.92258065,-24.26333333,-24.66129032,-20.30967742,-19.67333333,-17.68709677,-18.91666667,-21.55483871,-25.76129032,-22.48571429,-20.5,-20.88666667,-20.88666667,-0.386666667,25,34
12420,"Austin-Round Rock-Georgetown, TX",Very Large,-23.38387097,-54.71666667,-29.78387097,-17.47333333,-20.72580645,-17.97741935,-19.07333333,-16.23548387,-18.85333333,-21.19354839,-22.86774194,-33.71071429,-12.86129032,-11.21666667,-11.21666667,1.644623656,2,22
12580,"Baltimore-Columbia-Towson, MD",Very Large,-25.58709677,-56.33333333,-42.34516129,-23.12333333,-13.05806452,-11.46129032,-15.38333333,-16.46451613,-22.37666667,-28.4483871,-29.34193548,-27.73214286,-17.19032258,-13.43333333,-13.43333333,3.756989247,7,5
13820,"Birmingham-Hoover, AL",Very Large,-26.62258065,-57.17666667,-37.10645161,-23.3,-25.36129032,-20.06451613,-17.97333333,-14.77096774,-19.20333333,-19.14516129,-19.81935484,-15.30714286,-15.37419355,-13.30666667,-13.30666667,2.067526882,6,17
14460,"Boston-Cambridge-Newton, MA-NH",Very Large,-35.95483871,-69.89,-59.09032258,-38.69,-27.46774194,-24.2483871,-28.23333333,-32.29354839,-37.90333333,-43.90645161,-44.93870968,-41.325,-36.17096774,-33.55333333,-33.55333333,2.617634409,46,9
15380,"Buffalo-Cheektowaga, NY",Very Large,-26.21935484,-60.60666667,-49.31935484,-30.44333333,-22.08709677,-13.5,-14.08666667,-15.29677419,-23.30333333,-29.18709677,-34.03225806,-25.9,-16.62580645,-17.38,-17.38,-0.754193548,15,37
16740,"Charlotte-Concord-Gastonia, NC-SC",Very Large,-23.62258065,-53.17333333,-39.31935484,-22.65666667,-23.18709677,-20.34516129,-20.24,-17.31290323,-19.97333333,-22.45806452,-25.25483871,-22.44285714,-18.15483871,-19.19,-19.19,-1.03516129,19,39
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Very Large,-31.96451613,-64.94,-54.8516129,-35.75333333,-24.72580645,-23.64193548,-24.54666667,-24.69354839,-36.83333333,-40.87741935,-41.42580645,-35.09642857,-30.05483871,-28.53333333,-28.53333333,1.521505376,43,24
17140,"Cincinnati, OH-KY-IN",Very Large,-26.63548387,-58.29,-40.90967742,-10.36666667,-7.580645161,-8.303225806,-10.98666667,-12.79032258,-23.16666667,-28.12580645,-23.51290323,-23.19642857,-16.56129032,-14.43666667,-14.43666667,2.124623656,9,15
17460,"Cleveland-Elyria, OH",Very Large,-24.97419355,-51.37666667,-35.01290323,-15.53666667,-15.28064516,-10.53225806,-8.003333333,-6.967741935,-16.33666667,-24.0516129,-25.50967742,-21.79642857,-19.80967742,-19.27333333,-19.27333333,0.536344086,21,28
18140,"Columbus, OH",Very Large,-25.01935484,-55.26666667,-29.80322581,-7.383333333,-6.035483871,-4.051612903,-8.473333333,-10.02903226,-17.28666667,-18.27096774,-21.78064516,-17.32857143,-13.88387097,-10.86333333,-10.86333333,3.020537634,1,7
19100,"Dallas-Fort Worth-Arlington, TX",Very Large,-24.59677419,-51.95333333,-34.32580645,-23.39,-25.9,-22.79032258,-23.16,-20.95806452,-24.07666667,-27.13225806,-27.32258065,-34.97142857,-19.41290323,-19.68,-19.68,-0.267096774,22,33
19740,"Denver-Aurora-Lakewood, CO",Very Large,-27.46451613,-58,-42.29354839,-24.68666667,-21.93225806,-19.54193548,-20.72333333,-21.58064516,-30.42,-34.99354839,-30.4483871,-27.69285714,-28.81612903,-21.83333333,-21.83333333,6.982795699,27,1
19820,"Detroit-Warren-Dearborn, MI",Very Large,-37.7,-75.27,-64.64193548,-45.26,-39.12903226,-33.60967742,-33.43,-30.04516129,-35.54666667,-41.6516129,-41.57419355,-36.05714286,-34.79354839,-36.29666667,-36.29666667,-1.50311828,49,43
25540,"Hartford-East Hartford-Middletown, CT",Very Large,-27.3483871,-64.96333333,-48.05483871,-30.43,-24.1,-20.02258065,-20.45666667,-19.5483871,-26.90666667,-35.74516129,-32.68064516,-32.47857143,-23.13870968,-18.05666667,-18.05666667,5.082043011,17,2
26420,"Houston-The Woodlands-Sugar Land, TX",Very Large,-25.52580645,-53.95,-37.47741935,-27.59,-30.45483871,-28.08709677,-28.24333333,-22.86774194,-25.56,-28.75806452,-30.19677419,-36.02142857,-23.20967742,-23.24666667,-23.24666667,-0.036989247,28,32
26900,"Indianapolis-Carmel-Anderson, IN",Very Large,-24.42580645,-53.82666667,-35.56774194,-13.19333333,-7.841935484,-4.425806452,-4.046666667,-1.883870968,-19.14333333,-28.3483871,-29.77096774,-28.86428571,-19.79354839,-19.07,-19.07,0.723548387,18,27
27260,"Jacksonville, FL",Very Large,-16.92258065,-47.10666667,-20.78387097,-6.266666667,-10.27096774,-8.170967742,-12.96333333,-13.06774194,-15.61333333,-17.48387097,-15.58387097,-14.71785714,-14.96451613,-16.93,-16.93,-1.965483871,12,45
28140,"Kansas City, MO-KS",Very Large,-15.1483871,-37.65,-26.10645161,-16.31666667,-18.64193548,-16.02258065,-18.99,-18.00645161,-23.66,-31.53225806,-34.49032258,-33.32142857,-28.97096774,-27.04,-27.04,1.930967742,40,19
29820,"Las Vegas-Henderson-Paradise, NV",Very Large,-33.88387097,-67.25666667,-52.17419355,-33.62,-32.12580645,-29.63548387,-28.70666667,-24.84516129,-30.27,-34.48709677,-33.39032258,-28.44642857,-24.02258065,-21.72333333,-21.72333333,2.299247312,26,13
31080,"Los Angeles-Long Beach-Anaheim, CA",Very Large,-29.73870968,-59.17666667,-49.08387097,-35.87666667,-34.8516129,-31.04516129,-29.96,-28.16451613,-32.47666667,-40.41612903,-40.33870968,-31.61785714,-28.21290323,-26.68,-26.68,1.532903226,39,23
31140,"Louisville/Jefferson County, KY-IN",Very Large,-17.53548387,-57.16,-39.99354839,-20.00333333,-19.17741935,-21.54193548,-26,-25.27096774,-30.49666667,-34.52258065,-38.48064516,-39.50357143,-30.54516129,-34.02,-34.02,-3.47483871,47,49
32820,"Memphis, TN-MS-AR",Very Large,-18.71935484,-44.16333333,-23.76451613,-9.026666667,-14.90322581,-15.60322581,-16.71,-12.40967742,-14.90666667,-14.43225806,-18.25806452,-30.32857143,-13.26774194,-16.46666667,-16.46666667,-3.198924731,11,47
33100,"Miami-Fort Lauderdale-West Palm Beach, FL",Very Large,-29.70322581,-65.39333333,-52.05806452,-35.26666667,-37.03870968,-35.80967742,-32.56333333,-29.71935484,-30.77,-29.06774194,-27.85806452,-24.52142857,-22.76451613,-23.62666667,-23.62666667,-0.862150538,29,38
33340,"Milwaukee-Waukesha, WI",Very Large,-22.37419355,-49.16666667,-29.71612903,-0.043333333,0.825806452,3.122580645,-5.876666667,-8.606451613,-16.62,-15.32258065,-11.59032258,-10.02857143,-10.71935484,-11.96666667,-11.96666667,-1.247311828,5,40
33460,"Minneapolis-St. Paul-Bloomington, MN-WI",Very Large,-24.98709677,-53.73333333,-38.77741935,-18.91,-13.65806452,-8.64516129,-13.50333333,-15.05483871,-26.21,-31.66451613,-28.91290323,-23.76785714,-20.06129032,-16.94,-16.94,3.121290323,13,6
34980,"Nashville-Davidson--Murfreesboro--Franklin, TN",Very Large,-25.17419355,-58.82333333,-36.48709677,-22.87,-25.02903226,-23.33225806,-22.12333333,-18.34516129,-20.54333333,-25.99032258,-24.32903226,-31.85357143,-18.68387097,-26.53,-26.53,-7.846129032,38,50
35380,"New Orleans-Metairie, LA",Very Large,-31.90322581,-67.91333333,-58.17419355,-44.09333333,-42.23870968,-38.67096774,-36.24333333,-32.6483871,-30.31666667,-34.5,-34.38064516,-31.79285714,-26.41935484,-28.37666667,-28.37666667,-1.957311828,42,44
35620,"New York-Newark-Jersey City, NY-NJ-PA",Very Large,-36.88064516,-73.67666667,-63.60645161,-49.61,-41.16774194,-38.81935484,-38.68,-39.38709677,-42.32333333,-46.10645161,-47.11612903,-46.52142857,-40.61935484,-38.43333333,-38.43333333,2.186021505,50,14
36420,"Oklahoma City, OK",Very Large,-22.81290323,-49.3,-27.64516129,-15.41333333,-16.6483871,-13.63548387,-16.13333333,-21.22258065,-25.61,-28.72580645,-26.97419355,-36.45714286,-21.18064516,-20.78333333,-20.78333333,0.397311828,24,30
36740,"Orlando-Kissimmee-Sanford, FL",Very Large,-26.77419355,-60.63,-40.71290323,-28.43,-29.33225806,-25.16129032,-23.61666667,-21.71612903,-24.28333333,-25.54193548,-22.48387097,-21.43214286,-23.46451613,-24.89333333,-24.89333333,-1.428817204,34,41
37980,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Very Large,-31.40645161,-63.93333333,-53.03225806,-36.85333333,-29.12580645,-25.71935484,-27.31333333,-27.26129032,-32.39,-38.59677419,-40.16774194,-40.35,-31.43870968,-29.43666667,-29.43666667,2.002043011,44,18
38060,"Phoenix-Mesa-Chandler, AZ",Very Large,-20.48064516,-50.37666667,-36.11290323,-28.20666667,-31.93225806,-27.72903226,-25.41333333,-21.22258065,-23.26,-26.89354839,-26.50967742,-21.00714286,-18.70645161,-19.21666667,-19.21666667,-0.510215054,20,35
38300,"Pittsburgh, PA",Very Large,-34.59677419,-69.08333333,-54.20645161,-20.64,-21.99677419,-20.00645161,-21.27,-21.56451613,-27.17,-37.88387097,-35.91612903,-31.62142857,-26.56451613,-25.40333333,-25.40333333,1.161182796,36,25
38900,"Portland-Vancouver-Hillsboro, OR-WA",Very Large,-30.29354839,-60.02333333,-49.07096774,-36.49333333,-33.78387097,-31.65483871,-33.66333333,-28.25806452,-36.67,-41.08064516,-38.2483871,-39.51428571,-28.16451613,-25.67,-25.67,2.494516129,37,12
39300,"Providence-Warwick, RI-MA",Very Large,-28.48064516,-61.64333333,-43.22580645,-15.14333333,0.706451613,4.383870968,-2.396666667,-6.167741935,-13.65666667,-21.15483871,-20.00967742,-15.63214286,-14.31612903,-11.68666667,-11.68666667,2.629462366,4,8
39580,"Raleigh-Cary, NC",Very Large,-22.1483871,-53.17333333,-39.52903226,-25.64666667,-22.86451613,-19.60967742,-17.95,-16.32580645,-20.82333333,-24.77096774,-26.13225806,-25.58214286,-26.0516129,-24.13666667,-24.13666667,1.914946237,32,20
40060,"Richmond, VA",Very Large,-22.84193548,-53.03666667,-44.25483871,-29.84,-23.75483871,-22.36451613,-22.57,-19.69354839,-27.09333333,-30.94193548,-32.57419355,-31.325,-25.1483871,-24.69333333,-24.69333333,0.455053763,33,29
40140,"Riverside-San Bernardino-Ontario, CA",Very Large,-24.85483871,-53.32,-40.41290323,-23.91333333,-26.51935484,-23.49677419,-21.78666667,-16.7483871,-23.84,-32.42258065,-31.58387097,-21.06428571,-17.57096774,-17.24,-17.24,0.330967742,14,31
40900,"Sacramento--Roseville-Folsom, CA",Very Large,-29.23548387,-57.79666667,-45.86774194,-29.01333333,-29.84516129,-26.97741935,-22.81,-19.9483871,-26.84666667,-34.23870968,-33.66129032,-26.51785714,-22.53225806,-20.68,-20.68,1.852258065,23,21
41180,"St. Louis, MO-I",Very Large,-23.85483871,-61.52666667,-38.4516129,-19.62333333,-15.62258065,-14.87741935,-17.22333333,-15.79032258,-22.59,-28.27419355,-29.73225806,-27.77857143,-17.72903226,-15.11333333,-15.11333333,2.615698925,10,10
41620,"Salt Lake City, UT",Very Large,-25.98387097,-52.15666667,-34.56129032,-24.84333333,-26.12258065,-22.81612903,-20.20666667,-18.66774194,-30.56666667,-33.11612903,-30.6516129,-28.29642857,-28.33870968,-31.08333333,-31.08333333,-2.744623656,45,46
41700,"San Antonio-New Braunfels, TX",Very Large,-24.40967742,-56.79666667,-34.69032258,-19.92333333,-27.72580645,-25.58709677,-24.86666667,-24.0483871,-25.91333333,-27.95483871,-29.74193548,-38.27142857,-20.56774194,-23.98333333,-23.98333333,-3.415591398,31,48
41740,"San Diego-Chula Vista-Carlsbad, CA",Very Large,-30.32580645,-60.06333333,-46.11935484,-30.23,-28.30322581,-27.51290323,-24.14333333,-22.61290323,-27.44666667,-35.78064516,-36.90322581,-29.26428571,-25.76129032,-23.66666667,-23.66666667,2.094623656,30,16
41860,"San Francisco-Oakland-Berkeley, CA",Very Large,-35.38709677,-67.08666667,-58.58064516,-48.58,-44.83870968,-42.70322581,-40.53,-36.47096774,-40.05,-46.60967742,-47.94193548,-41.24642857,-37.09032258,-34.55666667,-34.55666667,2.533655914,48,11
