"cbsa","cbsatitle","metrosize","list_jan20","list_feb20","list_mar20","list_apr20","list_may20","list_jun20","list_jul20","list_aug20","list_sep20","list_oct20","list_nov20","list_dec20","list_jan21","list_feb21","list_mar21","list_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"10420","Akron, OH","Large",1541,1384,1272,1246,1125,1044,985,899,891,912,891,784,667,504,456,447,-69.8787061994609,-1.97368421052632,131,124,32,37
"10580","Albany-Schenectady-Troy, NY","Large",3131,2917,2885,2732,2675,2617,2517,2454,2460,2449,2352,2127,1847,1535,1426,1412,-61.7551462621885,-0.981767180925666,66,111,12,32
"10740","Albuquerque, NM","Large",1775,1697,1659,1771,1664,1455,1327,1304,1300,1281,1264,1050,850,721,684,667,-70.8987783595113,-2.48538011695906,144,134,40,39
"10900","Allentown-Bethlehem-Easton, PA-NJ","Large",2507,2302,2321,2094,2044,2010,1809,1724,1682,1752,1592,1384,1146,988,1010,1145,-70.6108829568789,13.3663366336634,138,13,36,4
"11100","Amarillo, TX","Midsized",855,851,797,779,758,721,655,599,590,586,567,511,453,365,330,328,-70.4504504504504,-0.606060606060606,137,108,63,41
"11260","Anchorage, AK","Midsized",1286,1208,1186,1251,1345,1357,1310,1298,1243,1135,993,860,728,660,629,677,-57.4481458202388,7.63116057233704,44,33,18,15
"11460","Ann Arbor, MI","Midsized",812,801,857,892,1058,1076,999,998,939,873,776,681,553,480,439,439,-53.8865546218487,0,31,103,13,38
"11700","Asheville, NC","Midsized",2079,1879,1917,2074,2070,1999,1904,1710,1612,1590,1458,1312,1095,933,812,849,-65.7937147461724,4.55665024630542,91,69,38,26
"12060","Atlanta-Sandy Springs-Alpharetta, GA","Very Large",36085,34413,34272,37617,36796,32989,29498,27399,25551,24797,22673,20078,17310,14399,13558,13773,-67.6196073821559,1.58577961351232,110,88,38,29
"12100","Atlantic City-Hammonton, NJ","Midsized",2281,2312,2384,2330,2278,2070,1869,1689,1632,1675,1682,1643,1425,1261,1150,1138,-58.13097866078,-1.04347826086957,47,114,20,44
"12260","Augusta-Richmond County, GA-SC","Large",2139,2022,1978,1972,1800,1569,1511,1434,1318,1308,1200,1172,1101,954,796,740,-70.1612903225807,-7.03517587939699,133,168,34,52
"12420","Austin-Round Rock-Georgetown, TX","Very Large",5858,5454,5715,6484,6713,5970,5603,5116,4377,4123,3541,2866,1912,1432,1559,1768,-76.3351626288315,13.4060295060937,178,12,52,3
"12540","Bakersfield, CA","Large",1840,1754,1778,1838,1758,1552,1424,1262,1299,1279,1178,1100,999,883,800,849,-64.2375737152485,6.125,81,47,20,17
"12580","Baltimore-Columbia-Towson, MD","Very Large",7098,6619,6842,6675,6627,6149,5409,5009,4959,4911,4572,3930,3281,2729,2784,3121,-66.7448055407565,12.1048850574713,98,19,35,5
"12940","Baton Rouge, LA","Large",3842,3851,3852,3840,3673,3389,3278,3025,2844,2617,2550,2476,2303,1971,1742,1636,-60.3682170542636,-6.0849598163031,57,159,10,46
"13140","Beaumont-Port Arthur, TX","Midsized",1615,1580,1543,1522,1519,1645,1629,1575,1453,1452,1483,1373,1341,1359,1381,1311,-20.3523693803159,-5.06879073135409,6,148,5,61
"13820","Birmingham-Hoover, AL","Very Large",3382,3323,3269,3338,3259,3059,2907,2752,2654,2697,2582,2396,2215,1850,1721,1622,-59.3687374749499,-5.75246949447995,51,153,21,46
"14260","Boise City, ID","Large",2128,1906,1845,2250,2275,1881,1440,1151,953,860,750,660,555,509,596,720,-68.0284191829485,20.8053691275168,114,6,25,2
"14460","Boston-Cambridge-Newton, MA-NH","Very Large",6058,5970,6872,6722,7490,8074,7664,7396,7771,8166,7349,5501,4258,4014,4347,5036,-45.1057335949422,15.8500115021854,16,9,5,1
"14500","Boulder, CO","Midsized",920,854,892,1024,1216,1429,1308,1186,1174,1129,838,657,490,400,372,403,-68.5402029664325,8.33333333333333,118,31,53,14
"14740","Bremerton-Silverdale-Port Orchard, WA","Midsized",353,318,392,454,439,425,421,410,395,374,246,202,162,135,134,180,-57.8454332552693,34.3283582089552,45,2,19,2
"14860","Bridgeport-Stamford-Norwalk, CT","Large",5268,5780,6385,5897,5929,6671,6739,6400,6057,5897,5164,4347,3584,3470,3615,3891,-51.1058054787635,7.63485477178423,21,32,2,9
"15180","Brownsville-Harlingen, TX","Midsized",1451,1453,1421,1397,1348,1190,1078,1002,956,887,856,821,710,636,571,494,-70.1870850935425,-13.4851138353765,134,187,62,79
"15380","Buffalo-Cheektowaga, NY","Very Large",1510,1393,1311,1258,1229,1296,1286,1257,1237,1155,1024,877,727,677,700,738,-53.7883531621791,5.42857142857143,29,57,13,18
"15940","Canton-Massillon, OH","Midsized",823,743,673,668,619,532,528,509,492,518,492,487,412,299,277,269,-63.1001371742112,-2.88808664259928,73,137,31,55
"15980","Cape Coral-Fort Myers, FL","Large",8624,8594,8357,8197,7583,6827,6222,5703,5319,5088,4805,4529,3947,2985,2101,1990,-81.6640560213766,-5.28319847691575,190,150,55,43
"16300","Cedar Rapids, IA","Midsized",970,903,865,904,851,782,729,694,637,624,575,494,413,357,348,349,-60.8744394618834,0.28735632183908,60,100,25,35
"16620","Charleston, WV","Midsized",970,931,897,841,754,741,726,693,674,667,530,497,451,410,358,317,-68.6758893280632,-11.4525139664804,121,183,54,76
"16700","Charleston-North Charleston, SC","Large",3918,3906,3989,4056,3894,3587,3272,3034,2770,2676,2455,2177,1780,1350,1183,1131,-76.7331824727422,-4.3956043956044,180,144,50,41
"16740","Charlotte-Concord-Gastonia, NC-SC","Very Large",6377,5742,5936,6540,6248,5277,4762,4531,4420,4333,4021,3510,3115,2588,2221,2168,-73.5674225798586,-2.38631247185952,166,133,46,42
"16860","Chattanooga, TN-GA","Large",1859,1686,1689,1689,1608,1428,1290,1199,1163,1110,1098,1023,812,589,543,547,-74.2588235294118,0.736648250460405,169,94,45,30
"16980","Chicago-Naperville-Elgin, IL-IN-WI","Very Large",28689,29155,29637,28317,28137,28026,27033,26649,26939,26989,24631,20918,17946,15844,15357,16037,-52.9706744868035,4.42794816695969,25,70,11,21
"17140","Cincinnati, OH-KY-IN","Very Large",4326,3769,3631,3727,3590,3279,3011,3021,3115,3184,3109,2730,2268,1828,1764,1698,-67.3837879369958,-3.74149659863946,106,141,37,44
"17300","Clarksville, TN-KY","Midsized",1090,981,938,1003,907,756,782,662,651,617,552,536,500,448,322,301,-73.220640569395,-6.52173913043478,162,166,73,68
"17460","Cleveland-Elyria, OH","Very Large",4928,4389,4189,4071,3702,3440,3287,3197,3221,3337,3218,2902,2423,1967,1884,1853,-65.6215213358071,-1.64543524416136,88,117,31,39
"17780","College Station-Bryan, TX","Midsized",1282,1451,1559,1558,1514,1395,1329,1248,1223,1146,1065,988,872,772,695,597,-58.7991718426501,-14.1007194244604,49,188,21,80
"17820","Colorado Springs, CO","Large",1351,1198,1283,1445,1676,1708,1620,1507,1313,1114,871,712,562,536,596,671,-63.030303030303,12.5838926174497,72,16,15,6
"17900","Columbia, SC","Large",2625,2526,2369,2416,2199,1899,1749,1617,1569,1543,1480,1351,1207,1042,845,798,-73.1132075471698,-5.56213017751479,161,152,44,44
"17980","Columbus, GA-AL","Midsized",1068,1010,940,939,838,765,680,619,544,565,585,567,520,479,436,413,-70.8333333333333,-5.27522935779817,143,149,65,62
"18140","Columbus, OH","Very Large",3157,2650,2683,2733,2630,2493,2354,2330,2364,2376,2221,1875,1555,1243,1245,1398,-57.0902394106814,12.289156626506,40,17,18,4
"18580","Corpus Christi, TX","Midsized",2317,2303,2310,2292,2131,1862,1701,1614,1534,1464,1467,1382,1252,1142,1034,972,-62.5433526011561,-5.99613152804642,70,156,30,65
"18880","Crestview-Fort Walton Beach-Destin, FL","Midsized",2492,2424,2595,2804,2782,2451,2219,2018,1874,1755,1708,1581,1364,1109,947,907,-69.5330870003359,-4.22386483632524,128,143,59,59
"19100","Dallas-Fort Worth-Arlington, TX","Very Large",17758,17411,18052,18489,18546,16719,15677,14539,13402,12422,11089,9367,8034,6234,5596,5595,-72.9670966806784,-0.0178699070764832,159,104,45,35
"19340","Davenport-Moline-Rock Island, IA-IL","Midsized",2181,2087,1993,1961,1901,1829,1790,1762,1721,1712,1704,1633,1526,1419,1380,1352,11.6432700247729,-2.02898550724638,2,125,1,47
"19430","Dayton-Kettering, OH","Large",1696,1456,1512,1439,1286,1174,1154,1157,1200,1242,1213,1080,847,614,596,615,-75.614591593973,3.18791946308725,175,79,49,27
"19660","Deltona-Daytona Beach-Ormond Beach, FL","Large",6080,6042,6190,6329,5984,5085,4469,4014,3663,3627,3604,3355,2970,2491,1814,1702,-74.4290865384615,-6.1742006615215,170,163,46,50
"19740","Denver-Aurora-Lakewood, CO","Very Large",4100,3708,4391,5156,6056,6724,6222,5858,5506,4935,4000,2985,2363,2152,2252,2229,-67.036379769299,-1.02131438721137,103,113,36,37
"19780","Des Moines-West Des Moines, IA","Large",3167,3056,3069,3125,2898,2605,2461,2430,2334,2373,2333,2132,1928,1718,1478,1446,-51.3295186805789,-2.16508795669824,22,131,3,38
"19820","Detroit-Warren-Dearborn, MI","Very Large",11679,10725,10266,9966,10688,10219,9805,9318,9014,8387,7708,6738,5637,4688,4530,4634,-59.5636998254799,2.29580573951435,52,84,22,26
"20260","Duluth, MN-WI","Midsized",1158,1080,1108,1183,1272,1289,1245,1160,1059,990,843,720,546,450,430,468,-66.4275466284075,8.83720930232558,96,30,41,13
"20500","Durham-Chapel Hill, NC","Large",1281,1201,1233,1286,1289,1208,1142,1074,984,948,899,798,674,528,488,458,-68.6730506155951,-6.14754098360656,120,162,29,49
"21340","El Paso, TX","Large",2373,2405,2301,2247,1930,1592,1443,1460,1400,1389,1320,1343,1244,1168,1124,1051,-59.9923867529501,-6.49466192170819,56,164,9,51
"21500","Erie, PA","Midsized",797,720,647,611,574,516,490,453,423,441,411,362,305,242,216,211,-80.4267161410018,-2.31481481481481,187,132,81,53
"21660","Eugene-Springfield, OR","Midsized",488,462,512,653,636,587,518,484,478,458,377,325,264,251,246,258,-58.8516746411483,4.8780487804878,50,65,22,23
"21780","Evansville, IN-KY","Midsized",738,624,550,543,482,458,462,430,431,421,445,420,345,239,194,200,-73.5449735449735,3.09278350515464,165,80,76,29
"22180","Fayetteville, NC","Large",1204,1121,961,902,733,609,569,516,514,479,442,426,385,324,274,284,-80.9267965077233,3.64963503649635,188,76,54,26
"22220","Fayetteville-Springdale-Rogers, AR","Large",1842,1710,1661,1763,1643,1422,1321,1162,1107,1074,980,898,759,624,577,618,-72.9895104895105,7.10571923743501,160,39,43,12
"22420","Flint, MI","Midsized",1179,1062,1024,956,945,823,743,712,689,655,605,556,503,424,436,481,-56.1930783242259,10.3211009174312,38,25,16,10
"22660","Fort Collins, CO","Midsized",1066,1019,1037,1215,1371,1306,1226,1097,1015,875,774,671,518,429,371,361,-67.6233183856502,-2.69541778975741,111,136,51,54
"22900","Fort Smith, AR-OK","Midsized",1070,1065,993,975,899,836,779,722,657,623,576,550,507,442,400,376,-69.6529459241324,-6,129,157,60,66
"23060","Fort Wayne, IN","Midsized",668,565,537,549,537,468,464,461,471,436,402,346,296,250,208,193,-63.1679389312977,-7.21153846153846,74,170,32,70
"23420","Fresno, CA","Large",1341,1311,1251,1321,1207,1018,842,783,812,820,735,679,539,508,508,542,-70.2197802197802,6.69291338582677,135,43,35,15
"23540","Gainesville, FL","Midsized",806,850,937,958,868,779,805,787,763,741,743,682,614,508,434,425,-57.1140262361251,-2.07373271889401,42,127,17,49
"24340","Grand Rapids-Kentwood, MI","Very Large",2004,1875,1817,1820,2005,1866,1754,1666,1530,1525,1383,1165,959,811,788,719,-65.7782008567349,-8.75634517766497,90,175,32,50
"24540","Greeley, CO","Midsized",949,822,861,1052,1183,1124,1040,986,891,787,722,622,502,419,409,411,-67.093674939952,0.488997555012225,105,96,48,33
"24580","Green Bay, WI","Midsized",700,675,698,687,634,613,564,539,517,496,467,411,346,301,277,293,-60.9853528628495,5.77617328519856,61,50,26,19
"24660","Greensboro-High Point, NC","Large",1520,1401,1391,1491,1436,1337,1196,1110,1015,988,926,920,717,621,523,543,-68.6127167630058,3.82409177820268,119,75,28,25
"24860","Greenville-Anderson, SC","Large",3633,3363,3381,3461,3319,2943,2821,2663,2486,2442,2438,2286,2036,1718,1336,1257,-64.0343347639485,-5.91317365269461,79,155,18,45
"25060","Gulfport-Biloxi, MS","Midsized",1824,1835,1839,1827,1655,1452,1342,1232,1167,1116,1102,1022,925,763,704,654,-66.8860759493671,-7.10227272727273,102,169,46,69
"25180","Hagerstown-Martinsburg, MD-WV","Midsized",886,848,849,844,764,665,584,533,509,477,422,395,352,251,245,246,-79.222972972973,0.408163265306122,185,99,80,34
"25420","Harrisburg-Carlisle, PA","Large",1090,963,915,861,921,934,815,768,742,681,635,614,531,441,442,449,-68.7543493389005,1.58371040723982,122,89,30,28
"25540","Hartford-East Hartford-Middletown, CT","Very Large",4249,4292,4610,4330,4175,4590,4569,4338,4300,4237,3912,3231,2581,2458,2497,2795,-51.0679271708683,11.9343211854225,20,21,9,6
"25860","Hickory-Lenoir-Morganton, NC","Midsized",666,652,649,645,558,507,463,417,625,506,522,495,453,412,372,369,-54.9450549450549,-0.806451612903226,35,110,14,43
"26420","Houston-The Woodlands-Sugar Land, TX","Very Large",25203,25271,26124,26772,25904,23907,22814,21857,20408,19686,19035,17704,16182,14176,12449,12086,-57.1083824260061,-2.91589685918548,41,138,19,43
"26580","Huntington-Ashland, WV-KY-OH","Midsized",1499,1459,1376,1324,1206,1060,1026,899,847,836,793,761,709,632,580,553,-66.8663870581186,-4.6551724137931,100,147,44,60
"26620","Huntsville, AL","Midsized",1144,1049,997,1081,1220,1114,1076,1046,1000,992,954,948,807,641,518,488,-68.4346701164295,-5.79150579150579,117,154,52,64
"26900","Indianapolis-Carmel-Anderson, IN","Very Large",4674,4094,3830,4055,3815,3473,3328,3150,3196,3316,3245,2828,2362,1783,1624,1642,-63.8564825005503,1.10837438423645,78,91,28,30
"27140","Jackson, MS","Large",1751,1737,1737,1699,1585,1458,1335,1246,1135,1061,1008,912,814,772,660,573,-72.1032132424537,-13.1818181818182,150,186,41,55
"27260","Jacksonville, FL","Very Large",7996,7873,7937,8539,8156,7229,6492,5810,5096,4879,4704,4259,3501,2751,2327,2337,-74.4562247240136,0.429737859905458,171,98,48,34
"28020","Kalamazoo-Portage, MI","Midsized",873,879,794,778,825,760,718,660,615,585,557,487,411,348,305,313,-65.0669642857143,2.62295081967213,84,82,35,30
"28140","Kansas City, MO-KS","Very Large",5037,4646,4428,4458,4254,3906,3624,3454,3418,3520,3419,3059,2569,1998,1891,1985,-65.893470790378,4.97091485986251,92,64,33,20
"28420","Kennewick-Richland, WA","Midsized",575,498,494,499,473,475,492,455,449,455,408,346,316,275,218,196,-61.9417475728155,-10.0917431192661,67,182,29,75
"28660","Killeen-Temple, TX","Midsized",1375,1328,1385,1379,1196,1018,893,817,717,643,618,586,489,384,350,383,-71.2678169542386,9.42857142857143,147,28,66,12
"28700","Kingsport-Bristol, TN-VA","Midsized",1231,1083,993,961,845,813,749,709,700,675,629,577,508,395,349,343,-73.3695652173913,-1.71919770773639,163,119,74,46
"28940","Knoxville, TN","Large",2566,2373,2249,2365,2220,2006,1780,1637,1504,1527,1555,1370,1139,855,677,666,-78.0848963474827,-1.62481536189069,182,116,51,34
"29180","Lafayette, LA","Midsized",1820,1842,1860,1785,1720,1588,1473,1417,1291,1218,1112,1074,982,908,824,761,-66.7830641641205,-7.64563106796116,99,171,43,71
"29460","Lakeland-Winter Haven, FL","Large",3050,2946,2851,3046,2911,2654,2517,2309,2236,2234,2275,2144,1909,1519,1103,925,-70.7000316756414,-16.1378059836809,140,190,38,56
"29540","Lancaster, PA","Large",799,736,714,693,722,741,658,602,568,537,514,480,409,351,351,384,-64.1456582633053,9.4017094017094,80,29,19,8
