"cbsa","cbsatitle","metrosize","price_jan20","price_feb20","price_mar20","price_apr20","price_may20","price_jun20","price_jul20","price_aug20","price_sep20","price_oct20","price_nov20","price_dec20","price_jan21","price_feb21","price_mar21","price_apr21","chg_imp","chg_traj","rank_imp","rank_traj","szrank_imp","szrank_traj"
"10420","Akron, OH","Large",147900,149900,161400,169450,179500,192400,192495,189900,179900,179900,167400,159700,145000,153950,179500,184900,9.2466765140325,3.008356545961,143,32,43,10
"10580","Albany-Schenectady-Troy, NY","Large",299900,304900,317450,319450,324900,336900,341050,339900,331750,333500,330400,335000,359900,379000,379450,368250,19.6242468990974,-2.95164053234945,68,136,25,37
"10740","Albuquerque, NM","Large",281990,290900,292900,289950,307500,324445,319950,325000,322377.5,315000,310000,312450,349900,342500,364500,349500,27.6212832351141,-4.11522633744856,28,148,11,39
"10900","Allentown-Bethlehem-Easton, PA-NJ","Large",242499.5,249900,262400,262500,264900,269450,278145,279500,281895,274900,275000,278300,299900,323995,324950,307000,39.6225189409249,-5.52392675796276,5,165,1,44
"11100","Amarillo, TX","Midsized",227558,239800,260307,267842,279000,279700,278250,270000,275475,275000,279900,278885,279500,316450,337250,341880,40.5467625899281,1.37286879169755,4,61,2,37
"11260","Anchorage, AK","Midsized",319250,319900,319947.5,319500,329900,332500,338000,335000,335800,325000,326875,328450,330000,349500,376000,362750,12.4980617149946,-3.52393617021277,118,140,52,60
"11460","Ann Arbor, MI","Midsized",364250,375000,393950,395000,389000,391900,396500,393640,397320,407990,412990,407450,431340,444600,456990,446292.5,11.7127659574468,-2.34086085034683,125,131,54,56
"11700","Asheville, NC","Midsized",399950,415000,402400,399000,415000,419450,422500,425900,432450,439000,446950,449950,479640,475000,492000,480750,21.8785650906325,-2.28658536585366,52,129,22,54
"12060","Atlanta-Sandy Springs-Alpharetta, GA","Very Large",319950,324900,329450,325000,334528,346450,350212.5,354560,354472.5,355000,352088,349900,365000,377500,394500,392377.5,18.9177680728095,-0.538022813688213,73,97,15,26
"12100","Atlantic City-Hammonton, NJ","Midsized",252500,250000,256500,254900,254900,250000,254950,254900,257000,255000,258450,249950,249900,249450,249250,254500,-5.30056373141826,2.10631895687061,186,42,78,24
"12260","Augusta-Richmond County, GA-SC","Large",229998.5,230500,234450,237450,239900,242000,243837.5,249500,252190,250000,245450,249400,258500,266900,269900,269950,19.473334808586,0.0185253797702853,70,88,27,26
"12420","Austin-Round Rock-Georgetown, TX","Very Large",353334,359990,371900,365919.5,377431,389999,392223,399900,409000,414900,414500,419950,460000,494000,520000,514500,38.5382797827009,-1.05769230769231,7,108,3,31
"12540","Bakersfield, CA","Large",262000,265000,274950,274250,275000,279475,289900,299500,309000,305000,302000,292449.5,280000,284850,298495,304950,17.3110213502597,2.16251528501315,81,41,29,14
"12580","Baltimore-Columbia-Towson, MD","Very Large",315000,320000,328445,328300,340000,349946,354900,349900,339946,339900,325250,325000,324900,322450,334950,336200,1.89422639793908,0.373190028362442,175,80,49,18
"12940","Baton Rouge, LA","Large",239900,245000,249700,248750,255000,263250,265000,269900,278100,275584,275000,274950,275000,283270,293500,303495,22.8724696356275,3.40545144804089,46,28,18,9
"13140","Beaumont-Port Arthur, TX","Midsized",195000,192000,197700,199900,2e+05,209900,212400,216900,219900,219000,214700,211250,214900,219900,220450,229900,21,4.28668632342935,61,17,27,13
"13820","Birmingham-Hoover, AL","Very Large",252450,256360,259900,260723.5,268500,274900,274950,272113,271000,259900,257285.5,256750,263900,269950,267450,277450,11.0244097639056,3.73901663862404,133,23,35,2
"14260","Boise City, ID","Large",374945,379900,384524.5,387400,389990,396950,400350,4e+05,408282.5,425000,444634,437683,459990,482300.5,500430.5,496992.5,38.6641723479379,-0.687008485693818,6,100,2,29
"14460","Boston-Cambridge-Newton, MA-NH","Very Large",589950,6e+05,629995,617450,630000,657447.5,675000,678400,677000,669000,654900,649000,669900,692500,694950,699450,16.5944324054009,0.647528599179797,87,74,17,15
"14500","Boulder, CO","Midsized",622000,650185,692000,691500,7e+05,725000,727500,748900,705000,722103,727450,756017.5,899000,937500,912500,799000,29.4885745465345,-12.4383561643836,20,190,10,81
"14740","Bremerton-Silverdale-Port Orchard, WA","Midsized",462500,467000,480444,489500,499999,495000,499950,495000,477194,479000,517000,471138,475000,612250,608988.5,594963.5,23.3084974093264,-2.30299915351439,42,130,20,55
"14860","Bridgeport-Stamford-Norwalk, CT","Large",717000,719900,716500,727000,749900,748000,730000,699000,708000,715000,699000,699900,749000,757500,749500,739450,-2.69754589117705,-1.34089392928619,181,115,55,33
"15180","Brownsville-Harlingen, TX","Midsized",239900,239900,248750,248000,255000,264950,267437.5,255000,262000,259950,262500,269700,279900,277450,280000,292450,27.1798217003696,4.44642857142857,29,16,15,12
