cbsa_code,cbsatitle,topmetro,metrosize,pass_jan2020,pass_feb2020,pass_mar2020,pass_apr2020,pass_may2020,pass_jun2020,pass_jul2020,pass_aug2020,pass_sep2020,pass_oct2020,pass_nov2020,pass_dec2020,pass_jan2021,pass_feb2021,chg_imp,chg_traj,rank_imp,szrank_imp,rank_traj,szrank_traj
10420,"Akron, OH",1,Large,35532,34912,21167,2265,4594,5375,10055,9041,9171,11065,10204,11297,8800,9225,-73.576424,4.8295455,154,44,64,20
10580,"Albany-Schenectady-Troy, NY",1,Large,127483,127756,71360,5952,19259,33631,36162,34611,32907,40303,33828,34831,30239,35001,-72.603241,15.747875,151,42,17,8
10740,"Albuquerque, NM",1,Large,193438,184954,106653,9605,30095,51396,61223,61478,71272,82376,62524,65308,56465,57174,-69.087448,1.255645,140,39,92,26
10900,"Allentown-Bethlehem-Easton, PA-NJ",1,Large,34652,39442,23595,2097,9794,15142,15342,14021,14704,20778,17122,16438,13589,15447,-60.836166,13.672824,100,29,23,11
11100,"Amarillo, TX",1,Midsized,28949,28831,16816,2004,7109,11590,15946,18750,18582,18723,18224,20416,16652,15061,-47.761089,-9.5544081,28,15,140,50
11260,"Anchorage, AK",1,Midsized,194003,180805,130876,24812,54042,95020,152202,165877,136735,112784,95139,102069,97013,98528,-45.505932,1.5616463,20,12,89,33
11700,"Asheville, NC",1,Midsized,68626,62457,38392,2032,11195,24390,33934,33707,31141,46509,41065,35091,27039,27339,-56.227486,1.1095085,70,34,93,36
12060,"Atlanta-Sandy Springs-Alpharetta, GA",1,Very Large,1887893,1816044,1038025,97238,267592,466575,701792,722619,766496,881213,875717,939869,837536,804782,-55.684883,-3.9107573,61,12,124,42
12100,"Atlantic City-Hammonton, NJ",1,Midsized,51649,54464,31843,1201,3964,13196,13515,9777,8053,13576,17464,18341,16122,18182,-66.616478,12.777571,131,56,27,12
12260,"Augusta-Richmond County, GA-SC",1,Large,25666,24631,15573,3122,8515,7541,12785,13639,14613,15597,16307,17502,13134,12293,-50.091347,-6.4032283,39,13,134,40
12420,"Austin-Round Rock-Georgetown, TX",1,Very Large,633540,617445,352748,23174,79948,154328,206511,207648,211672,256528,263438,271228,209857,180621,-70.747032,-13.931392,141,43,150,49
12540,"Bakersfield, CA",1,Large,12993,12530,8533,1336,4029,4857,8098,8141,7776,9715,9626,8781,7466,6669,-46.775738,-10.67506,22,9,144,45
12580,"Baltimore-Columbia-Towson, MD",1,Very Large,756201,709524,403556,35543,95842,198266,325751,327092,292665,342517,332615,333997,286379,274691,-61.285172,-4.081305,106,29,127,44
12940,"Baton Rouge, LA",1,Large,34222,33973,18665,2219,7266,8793,12865,14017,18078,19757,18899,17603,14580,14133,-58.399319,-3.0658436,87,26,121,36
13140,"Beaumont-Port Arthur, TX",1,Midsized,2067,2094,1436,280,840,1123,1346,1051,1451,2169,2048,2539,1484,1132,-45.940784,-23.719677,21,13,160,60
13820,"Birmingham-Hoover, AL",1,Very Large,113198,114526,64624,6730,22881,31993,44543,51533,51134,60389,60566,61957,49216,48125,-57.978973,-2.2167587,83,19,114,38
14260,"Boise City, ID",1,Large,173193,161640,87509,10464,34111,57367,82106,92656,89846,102732,96791,98055,87069,89910,-44.376392,3.2629294,15,6,72,22
14460,"Boston-Cambridge-Newton, MA-NH",1,Very Large,1524370,1559802,832408,49495,136810,235528,398185,386631,352147,449616,426390,488066,380581,414073,-73.453491,8.8002291,153,50,42,11
15180,"Brownsville-Harlingen, TX",1,Midsized,43106,42137,29555,4002,8896,11666,13521,16955,18981,21643,23225,26099,24376,21377,-49.267864,-12.303085,33,18,148,55
15380,"Buffalo-Cheektowaga, NY",1,Very Large,187734,191494,106837,7155,25830,41789,46297,45646,44022,55497,49545,49344,45457,53102,-72.26963,16.818092,149,48,13,2
15980,"Cape Coral-Fort Myers, FL",1,Large,608357,646901,518044,44642,104058,138406,151750,131800,137133,214839,266566,315242,381580,373974,-42.189919,-1.993291,9,4,113,35
16300,"Cedar Rapids, IA",1,Midsized,57610,60971,34860,1770,9181,15031,21474,22304,21956,28292,26055,27641,23171,27009,-55.701893,16.563808,62,31,14,6
16620,"Charleston, WV",1,Midsized,18223,17917,10931,1580,3454,4818,8188,8002,8503,9832,9083,8853,7169,7501,-58.134731,4.6310506,85,41,66,23
