cbsa_code,cbsatitle,metrosize,inclaims_1,inclaims_2,inclaims_3,inclaims_4,inclaims_5,inclaims_6,inclaims_7,inclaims_8,inclaims_9,chg_traj,rank_traj,szrank_traj
10420,"Akron, OH",Large,41734,18858,9347,8286,6911,4655,3741,3869,5212,34.71181183768415,127,35
10580,"Albany-Schenectady-Troy, NY",Large,29663,26191,18536,12238,9676,6288,6630,5460,5534,1.355311355311355,69,19
10740,"Albuquerque, NM",Large,37879,0,0,0,0,0,0,0,0,,,
10900,"Allentown-Bethlehem-Easton, PA-NJ",Large,24193,11242,8083,7564,6271,5329,3896,3634,4203,15.65767749036874,101,29
11100,"Amarillo, TX",Midsized,4056,3662,2641,1844,1653,1355,1326,1131,1016,-10.16799292661362,54,22
11260,"Anchorage, AK ",Midsized,0,0,0,0,0,0,0,0,0,,,
11460,"Ann Arbor, MI ",Midsized,20222,7398,0,0,0,0,0,0,0,,,
11700,"Asheville, NC",Midsized,0,0,0,0,0,0,0,0,0,,,
12060,"Atlanta-Sandy Springs-Alpharetta, GA",Very Large,341874,607725,389000,296621,254906,139554,110857,110770,63160,-42.98095152116999,12,5
12100,"Atlantic City-Hammonton, NJ",Midsized,0,0,0,0,0,0,0,0,0,,,
12260,"Augusta-Richmond County, GA-SC",Large,19060,31449,19987,16347,16273,7847,6957,6934,4031,-41.86616671473897,13,3
12420,"Austin-Round Rock-Georgetown, TX",Very Large,67140,44577,24015,19846,16411,11635,10489,8000,7279,-9.012499999999999,56,16
12540,"Bakersfield, CA",Large,33310,30321,27018,38770,42303,49668,46862,17309,20331,17.45912531053209,108,30
12580,"Baltimore-Columbia-Towson, MD",Very Large,116663,119317,86702,60241,47719,21237,19210,41099,26976,-34.36336650526777,16,6
12940,"Baton Rouge, LA",Large,50706,45547,17773,15316,13159,7381,7773,6615,5646,-14.64852607709751,46,16
13140,"Beaumont-Port Arthur, TX ",Midsized,10456,9466,6260,5317,4521,3671,3712,2253,2356,4.571682201509099,77,31
13820,"Birmingham-Hoover, AL",Very Large,44814,41336,19011,14075,13665,7195,7030,6117,7784,27.25192087624653,121,38
14260,"Boise City, ID",Large,19914,6541,3342,4022,3578,2302,1984,2130,3600,69.01408450704226,143,41
14460,"Boston-Cambridge-Newton, MA-NH",Very Large,243014,122570,78745,58132,35285,37931,52761,101702,72755,,,
14500,"Boulder, CO ",Midsized,9829,7315,3132,1929,1733,1226,944,1091,2076,90.28414298808433,147,62
14740,"Bremerton-Silverdale-Port Orchard, WA",Midsized,13436,12503,6901,2987,3440,2022,2076,1714,2224,29.75495915985998,126,53
14860,"Bridgeport-Stamford-Norwalk, CT",Large,40736,20708,11186,29097,5589,3745,2954,12532,2694,-78.50303223747207,1,1
15180,"Brownsville-Harlingen, TX",Midsized,8755,8873,5900,5615,4999,3158,2243,2642,1920,-27.32778198334595,23,8
15380,"Buffalo-Cheektowaga, NY",Very Large,60864,46591,29678,19440,16368,10492,10703,9658,10535,9.080554980327189,88,33
15940,"Canton-Massillon, OH ",Midsized,24135,11401,6576,5778,4272,2963,2771,2754,3223,17.02977487291213,104,40
15980,"Cape Coral-Fort Myers, FL",Large,16013,15770,18384,7323,6345,3906,2548,2208,1671,-24.32065217391304,28,8
16300,"Cedar Rapids, IA",Midsized,17290,8219,3275,2940,2622,4346,2081,1468,2434,65.80381471389646,142,61
16620,"Charleston, WV",Midsized,0,0,0,0,0,0,0,0,0,,,
16700,"Charleston-North Charleston, SC",Large,32601,35091,15018,9814,7631,3207,2552,2356,1710,-27.41935483870968,22,7
16740,"Charlotte-Concord-Gastonia, NC-SC",Very Large,9931,10981,4851,3715,2798,1320,1064,999,709,,,
16860,"Chattanooga, TN-GA",Large,17162,17525,10249,7482,7421,3525,3318,3228,2185,-32.31102850061958,17,4
16980,"Chicago-Naperville-Elgin, IL-IN-WI",Very Large,30765,17971,12032,13249,9651,7547,10423,16064,10884,,,
17140,"Cincinnati, OH-KY-IN",Very Large,108322,55101,23956,19932,16873,11163,9586,11768,13067,11.03840924541128,92,34
17300,"Clarksville, TN-KY ",Midsized,9695,6989,3538,2697,2589,1743,1705,1563,1295,-17.14651311580294,41,15
17460,"Cleveland-Elyria, OH",Very Large,123779,53112,29470,26514,23081,14999,13005,13295,17094,28.57465212485897,123,39
17780,"College Station-Bryan, TX",Midsized,4511,3851,2511,2157,1631,1270,1099,885,824,-6.892655367231638,58,24
17820,"Colorado Springs, CO",Large,22136,12335,6299,4211,4070,3349,2619,2953,5104,72.84117846258043,144,42
17900,"Columbia, SC",Large,24568,29524,13985,11184,8195,4118,3469,3103,2220,-28.45633258137287,21,6
17980,"Columbus, GA-AL",Midsized,11312,19921,14959,14081,12645,6275,5174,5159,3101,-39.89145183175034,15,7
18140,"Columbus, OH",Very Large,106950,52832,25727,20895,17794,12632,10374,11007,15065,36.86744798764423,130,40
18580,"Corpus Christi, TX",Midsized,11610,10134,6233,5971,5443,3252,2760,2239,2213,-1.161232693166592,68,28
18880,"Crestview-Fort Walton Beach-Destin, FL ",Midsized,5790,5468,5449,1676,1715,1184,710,857,1017,18.66977829638273,110,43
19100,"Dallas-Fort Worth-Arlington, TX",Very Large,202810,172143,102829,80467,66034,48875,43214,36271,34061,-6.093021973477434,60,18
19340,"Davenport-Moline-Rock Island, IA-IL ",Midsized,9448,5713,2361,1917,1837,993,1034,860,1263,,,
19430,"Dayton-Kettering, OH",Large,48244,21850,11062,9554,7951,4982,4670,4677,6476,38.46482788112038,131,37
19660,"Deltona-Daytona Beach-Ormond Beach, FL",Large,14185,14518,16489,6510,5949,3681,2500,2194,1759,-19.82680036463081,36,11
19740,"Denver-Aurora-Lakewood, CO",Very Large,104472,71643,31259,20551,17722,13748,10727,12528,22937,83.08588761174967,146,42
19780,"Des Moines-West Des Moines, IA",Large,40510,19350,8195,6897,5976,3946,4049,3174,4464,40.64272211720227,132,38
19820,"Detroit-Warren-Dearborn, MI",Very Large,393798,143321,0,0,0,0,0,0,0,,,
20260,"Duluth, MN-WI ",Midsized,1365,791,462,471,584,313,276,316,390,,,
20500,"Durham-Chapel Hill, NC",Large,0,0,0,0,0,0,0,0,0,,,
21340,"El Paso, TX",Large,19742,19595,11344,7949,7345,5140,4134,4647,8499,82.89218850871531,145,43
21500,"Erie, PA",Midsized,10049,4271,2678,3302,2668,1847,1336,1336,2005,50.0748502994012,136,56
21660,"Eugene-Springfield, OR",Midsized,11435,10177,4672,3318,2032,1268,1825,1171,1598,36.46456020495303,129,54
21780,"Evansville, IN-KY",Midsized,13082,7095,4020,4322,3209,1866,1702,4626,2154,-53.43709468223087,7,3
22180,"Fayetteville, NC ",Large,0,0,0,0,0,0,0,0,0,,,
22220,"Fayetteville-Springdale-Rogers, AR",Large,0,0,0,0,0,0,0,0,0,,,
22420,"Flint, MI ",Midsized,39020,11648,0,0,0,0,0,0,0,,,
22660,"Fort Collins, CO",Midsized,12174,7149,3214,1864,1812,1467,1082,1295,2113,63.16602316602317,141,60
22900,"Fort Smith, AR-OK ",Midsized,0,0,0,0,0,0,0,0,0,,,
23060,"Fort Wayne, IN",Midsized,22059,8538,6510,7283,4324,3051,2944,6866,3787,-44.84415962714827,10,5
23420,"Fresno, CA",Large,40316,35027,29806,40603,45257,45426,44032,22935,25037,9.165031611074777,89,23
23540,"Gainesville, FL ",Midsized,4175,4149,5789,2586,2451,1535,1163,1067,819,-23.2427366447985,31,12
24340,"Grand Rapids-Kentwood, MI",Very Large,87976,29386,0,0,0,0,0,0,0,,,
24540,"Greeley, CO",Midsized,7927,6307,3406,2246,2004,1513,1144,1403,2043,45.61653599429793,135,55
24580,"Green Bay, WI ",Midsized,13177,10047,5077,4700,5310,2881,2685,3498,3014,-13.83647798742138,49,19
24660,"Greensboro-High Point, NC",Large,0,0,0,0,0,0,0,0,0,,,
